,app,channel,app_channel_confRate
97,11,319,0.0
98,11,325,0.0
99,11,330,0.0
100,11,360,0.0
101,11,469,0.0
102,11,481,0.0037116230639240456
103,11,487,0.0
104,12,19,0.0
105,12,105,0.0
106,12,122,0.0
107,12,124,0.0
108,12,135,0.0
109,12,140,0.0
110,12,145,0.0
111,12,160,0.0
112,12,178,0.0
113,12,182,0.0
114,12,205,0.0
115,12,212,0.0
116,12,219,0.0
117,12,242,0.0
118,12,245,0.0
119,12,259,0.0
120,12,265,0.0
121,12,326,0.0
122,12,328,0.0
123,12,409,0.0
124,12,424,0.0
125,12,481,0.0
126,12,497,0.0
127,13,400,0.0
128,13,446,0.0
129,13,449,0.0
130,13,469,0.0
131,13,477,0.0
132,14,113,0.0
133,14,118,0.0
134,14,123,0.0
135,14,134,0.0
136,14,160,0.0
137,14,224,0.0
138,14,349,0.0
139,14,379,0.0
140,14,401,0.001343096482861559
141,14,439,0.001795549292158233
142,14,442,0.0
143,14,446,0.0
144,14,449,0.0
145,14,463,0.001474743280564843
146,14,467,0.0
147,14,478,0.0
148,14,480,0.0
149,14,486,0.0
150,14,489,0.0
151,15,3,0.0
152,15,15,0.0
153,15,111,0.0
154,15,120,0.0
155,15,130,0.0
156,15,138,0.0
157,15,140,0.0
158,15,153,0.0
159,15,203,0.0
160,15,245,0.0
161,15,259,0.0
162,15,265,0.0
163,15,268,0.0
164,15,277,0.0
165,15,278,0.0
166,15,315,0.0
167,15,379,0.0
168,15,386,0.0
169,15,391,0.0
170,15,412,0.0
171,15,430,0.0
172,15,480,0.0
173,16,268,0.0
174,17,134,0.0
175,17,213,0.0
176,17,280,0.001220131364266163
177,18,107,0.0005088440410015411
178,18,121,0.0
179,18,134,0.0
180,18,376,0.0
181,18,420,0.0
182,18,439,0.0
183,18,449,0.0
184,19,210,0.04515449934959717
185,19,213,0.07954620803041686
186,19,282,0.05591760034688151
187,19,333,0.0
188,19,343,0.03180808364797749
189,19,347,0.03762874945799765
190,20,259,0.0008533136034752315
191,20,478,0.0
192,21,113,0.030102999566398118
193,21,128,0.0
194,22,116,0.0
195,23,153,0.0
196,23,479,0.0
197,24,105,0.0
198,24,178,0.0
199,25,259,0.0
200,26,121,0.0
201,26,266,0.001646888036939431
202,27,21,0.0
203,27,122,0.002587336535409012
204,27,153,0.0017428514732420494
205,28,135,0.0
206,29,101,0.07243697485836485
207,29,210,0.0
208,29,213,0.0780375462757555
209,29,317,0.0
210,29,333,0.030102999566398118
211,29,343,0.0074702394385735785
212,29,379,0.0
213,29,449,0.0
214,32,21,0.016373257652546255
215,33,347,0.0
216,34,243,0.0
217,35,21,0.2013033612487734
218,35,274,0.20565108042587757
219,36,110,0.0
220,36,128,0.0
221,36,373,0.0
222,37,282,0.0
223,38,347,0.0
224,39,101,0.021205389098651665
225,39,213,0.0
226,42,347,0.0
227,45,213,0.06361616729595498
228,45,333,0.0
229,45,411,0.0
230,45,419,0.0
231,45,465,0.0
232,47,484,0.0
233,49,101,0.0
234,50,213,0.0
235,52,379,0.0
236,57,347,0.0
237,58,120,0.0
238,58,347,0.0
239,60,21,0.0
240,64,459,0.0
241,65,460,0.0
242,65,469,0.0
243,66,101,0.0
244,68,347,0.0
245,72,101,0.12723233459190997
246,73,347,0.0
247,74,21,0.0
248,75,347,0.0
249,78,224,0.030102999566398118
250,79,213,0.0
251,80,347,0.0
252,82,21,0.0
253,82,224,0.0
254,83,320,0.0
255,84,101,0.0
256,85,347,0.0
257,86,21,0.0
258,87,21,0.0
259,88,347,0.0
260,95,347,0.0
261,96,213,0.0
262,102,333,0.0
263,103,21,0.0
264,103,498,0.0
265,105,451,0.0
266,107,171,0.0
267,108,243,0.0
268,108,268,0.0
269,109,347,0.0
270,110,210,0.030102999566398118
271,115,203,0.0
272,118,452,0.0
273,119,347,0.0
274,121,203,0.0
275,122,21,0.0
276,125,341,0.0
277,127,213,0.0
278,128,243,0.0
279,130,213,0.0
280,136,268,0.06361616729595498
281,137,347,0.0
282,141,451,0.0
283,148,224,0.0
284,150,110,0.0018120408910662603
285,151,347,0.0
286,155,101,0.0
287,155,213,0.060205999132796235
288,165,347,0.0
289,166,224,0.0
290,167,213,0.0
291,170,347,0.0
292,182,224,0.0
293,183,347,0.0
294,192,320,0.0
295,202,421,0.0
296,207,272,0.0
297,215,347,0.0
298,229,213,0.0
299,233,347,0.0
300,250,101,0.0
301,251,268,0.0
302,261,243,0.0
303,267,347,0.0
304,268,347,0.0
305,299,101,0.0
306,303,347,0.0
307,315,110,0.0
308,347,347,0.0
309,381,222,0.0
310,469,347,0.0
311,481,213,0.0
312,536,21,0.0
313,538,347,0.0
314,541,101,0.0
315,610,333,0.0
316,645,3,0.0
