ip,ip_app_4
3028,3
3038,12
3041,6
3048,8
3067,1
3071,2
3073,10
3080,1
3084,9
3085,1
3088,1
3093,6
3101,10
3102,11
3103,6
3113,1
3131,3
3133,8
3136,2
3139,2
3162,5
3163,1
3165,4
3167,1
3176,2
3178,6
3179,2
3183,3
3192,4
3196,5
3197,11
3201,1
3205,1
3210,14
3214,2
3218,1
3219,14
3239,6
3247,1
3253,2
3262,6
3268,1
3271,2
3279,7
3288,12
3294,6
3307,7
3313,11
3314,3
3316,1
3325,4
3332,9
3334,6
3338,7
3339,8
3348,1
3355,3
3359,1
3363,8
3376,3
3382,4
3399,1
3403,5
3406,1
3408,1
3410,2
3411,4
3425,9
3432,6
3435,1
3437,8
3441,2
3442,1
3453,1
3457,5
3461,7
3471,8
3472,12
3482,1
3488,10
3499,1
3505,6
3511,5
3520,8
3550,1
3553,10
3559,9
3564,5
3574,5
3576,1
3590,1
3591,8
3594,4
3611,2
3612,1
3634,5
3641,1
3651,1
3653,2
3674,1
3688,4
3691,3
3692,2
3703,2
3723,6
3730,10
3731,2
3737,11
3743,6
3744,5
3756,4
3763,8
3774,7
3782,2
3786,2
3787,7
3789,1
3794,6
3795,4
3797,1
3803,1
3808,3
3813,1
3823,3
3828,5
3835,6
3844,1
3845,2
3859,6
3860,2
3862,1
3875,10
3882,6
3889,5
3903,1
3904,2
3907,3
3947,1
3958,1
3964,20
3978,2
3981,6
3985,1
3994,23
4010,2
4015,7
4019,21
4022,9
4042,4
4043,4
4052,23
4075,3
4085,1
4093,8
4094,7
4102,9
4107,7
4117,3
4123,1
4126,1
4127,7
4136,11
4145,1
4147,5
4172,12
4173,1
4174,2
4175,2
4177,11
4180,1
4193,1
4202,1
4203,5
4214,3
4220,8
4241,8
4248,1
4253,2
4259,7
4264,2
4267,1
4270,3
4271,5
4280,4
4285,3
4295,7
4296,1
4303,6
4304,4
4308,6
4315,5
4324,9
4328,3
4330,7
4332,4
4333,1
4334,2
4339,5
4345,11
4353,7
4356,1
4361,1
4366,1
4375,4
4381,2
4382,10
4389,3
4393,8
4397,2
4398,2
4403,13
4405,13
4407,3
4413,3
4414,10
4420,3
4427,6
4432,12
4435,7
4436,12
4437,6
4442,9
4448,3
4451,2
4461,7
4464,2
4465,15
4475,4
4476,3
4486,7
4489,3
4496,5
4497,5
4499,1
4501,10
4502,11
4503,1
4505,4
4511,1
4514,2
4521,9
4526,10
4536,8
4540,12
4542,8
4543,9
4548,2
4553,8
4554,8
4559,9
4560,1
4563,3
4565,2
4567,2
4570,2
4571,4
4573,3
4577,2
4592,2
4600,3
4602,6
4604,2
4611,4
4623,1
4626,7
4629,7
4630,2
4633,6
4643,2
4645,1
4646,10
4652,8
4653,5
4654,2
4664,6
4670,13
4676,2
4678,3
4680,9
4683,7
4689,3
4690,3
4693,7
4701,4
4703,4
4715,1
4720,3
4722,7
4724,5
4727,1
4737,3
4741,8
4744,9
4746,2
4753,1
4754,1
4759,5
4763,1
4764,7
4769,1
4777,5
4779,1
4786,9
4789,1
4803,1
4805,3
4806,1
4809,9
4825,4
4831,6
4841,3
4843,4
4856,1
4862,6
4864,1
4868,1
4875,8
4876,2
4886,7
4887,2
4889,6
4903,12
4906,1
4913,1
4919,9
4930,9
4937,1
4938,2
4946,9
4948,5
4951,7
4957,2
4962,1
4963,1
4964,7
4968,1
4977,14
4983,9
4988,1
4989,15
5004,5
5011,12
5016,1
5032,7
5036,9
5038,14
5044,11
5060,2
5064,4
5065,2
5072,10
5073,1
5074,6
5077,1
5098,7
5118,10
5125,3
5128,10
5132,7
5135,7
5146,10
5147,25
5168,3
5178,24
5184,3
5185,1
5200,13
5208,2
5211,5
5222,5
5223,2
5250,4
5252,1
5257,2
5262,10
5270,4
5275,4
5281,6
5282,2
5295,1
5296,6
5299,8
5300,3
5306,3
5308,1
5313,6
5314,34
5322,1
5323,4
5325,3
5328,4
5333,5
5336,3
5338,6
5341,7
5347,10
5348,30
5359,8
5362,1
5369,1
5371,2
5380,1
5381,9
5384,3
5393,2
5401,1
5402,3
5404,3
5407,1
5413,10
5417,5
5418,10
5419,2
5420,1
5423,6
5425,2
5428,4
5429,1
5433,15
5442,2
5448,1
5449,14
5450,1
5452,11
5455,3
5458,1
5462,1
5464,2
5468,3
5492,3
5493,4
5499,9
5503,8
5509,9
5512,7
5514,5
5520,1
5524,2
5528,1
5534,1
5536,3
5543,11
5554,1
5555,1
5564,6
5574,9
5587,2
5589,1
5596,12
5597,9
5609,3
5610,1
5612,5
5619,11
5626,4
5632,6
5641,13
5648,13
5661,1
5667,5
5674,4
5676,4
5682,3
5698,1
5704,7
5712,9
5721,8
5722,5
5729,12
5732,7
5734,1
5740,16
5743,8
5744,2
5746,12
5749,11
5751,1
5758,4
5760,1
5761,14
5780,1
5786,1
5787,5
5788,13
5794,1
5813,6
5817,2
5829,8
5832,3
5834,2
5843,5
5849,1
5853,2
5861,3
5884,8
5904,4
5907,4
5912,4
5918,1
5936,4
5954,1
5964,2
6001,1
6008,1
6010,1
6022,4
6041,3
6061,4
6065,1
6074,3
6087,4
6097,1
6101,7
6113,4
6118,2
6124,12
6127,9
6130,8
6131,4
6145,1
6148,3
6154,2
6157,2
6160,1
6168,3
6173,13
6174,5
6176,1
6178,10
6184,6
6189,1
6194,3
6196,3
6198,6
6219,2
6221,2
6222,1
6223,5
6224,1
6227,11
6234,4
6242,2
6250,3
6255,3
6256,4
6259,5
6260,6
6262,1
6263,3
6269,9
6283,3
6284,1
6294,5
6298,1
6303,5
6306,4
6308,10
6313,11
6319,1
6322,1
6326,1
6330,10
6331,2
6336,12
6341,2
6350,6
6351,4
6354,1
6360,5
6367,7
6371,14
6375,8
6377,4
6380,3
6382,4
6395,10
6410,2
6412,1
6414,11
6424,11
6425,4
6428,6
6437,10
6456,3
6462,2
6463,1
6465,7
6473,4
6478,1
6479,1
6481,9
6484,4
6491,4
6505,5
6509,2
6517,15
6534,8
6545,7
6547,7
6549,1
6551,4
6553,3
6558,1
6575,8
6577,3
6578,7
6581,6
6595,3
6602,12
6603,1
6607,2
6609,5
6618,1
6620,6
6627,3
6635,1
6638,1
6640,2
6641,14
6650,1
6652,1
6655,1
6662,1
6668,8
6674,7
6681,3
6689,7
6692,8
6698,1
6702,1
6710,3
6713,10
6721,3
6740,9
6748,4
6757,1
6761,1
6773,6
6783,11
6792,2
6794,4
6806,8
6807,6
6814,4
6826,1
6828,7
6840,4
6853,1
6859,2
6860,6
6871,10
6873,1
6878,5
6884,2
6887,1
6899,1
6903,4
6905,9
6908,9
6911,3
6913,1
6922,3
6931,2
6934,5
6942,1
6943,7
6950,1
6952,5
6954,1
6956,7
6959,4
6971,9
6982,1
6993,1
7002,1
7006,5
7011,6
7018,6
7020,4
7021,5
7029,5
7030,5
7032,1
7043,2
7047,1
7050,6
7051,3
7056,9
7057,6
7059,14
7063,1
7065,1
7068,1
7069,8
7082,1
7088,4
7091,4
7092,1
7093,5
7098,6
7110,2
7119,1
7120,6
7125,10
7130,1
7131,1
7134,5
7146,5
7150,2
7151,1
7152,1
7153,8
7157,1
7160,5
7164,4
7168,6
7172,8
7178,3
7194,1
7204,9
7210,3
7211,5
7212,1
7213,1
7220,1
7223,1
7227,6
7228,5
7230,5
7235,9
7243,1
7244,2
7246,11
7251,1
7252,7
7255,9
7257,8
7266,1
7269,6
7273,1
7275,9
7276,1
7283,10
7288,2
7289,1
7291,9
7292,12
7293,2
7294,4
7295,1
7304,6
7308,5
7313,11
7315,4
7318,6
7320,5
7328,10
7335,14
7338,1
7343,4
7346,9
7348,1
7350,15
7352,1
7360,9
7364,5
7371,6
7372,1
7373,7
7377,2
7384,10
7389,1
7390,1
7393,8
7395,6
7397,1
7413,8
7418,3
7422,1
7426,1
7432,4
7435,1
7438,1
7441,9
7444,5
7448,1
7451,4
7460,1
7462,9
7466,1
7469,1
7471,10
7474,1
7481,1
7489,1
7493,9
7500,2
7502,4
7517,2
7521,5
7522,1
7524,1
7525,8
7526,1
7528,4
7538,5
7546,8
7553,6
7554,5
7559,1
7561,2
7567,3
7569,1
7572,10
7574,5
7590,1
7592,1
7593,2
7594,2
7595,8
7597,6
7598,7
7602,3
7612,6
7625,1
7645,5
7647,3
7649,2
7650,1
7653,1
7664,10
7680,1
7682,6
7690,11
7699,12
7708,7
7709,11
7715,1
7717,2
7736,1
7737,4
7749,7
7754,1
7755,2
7756,3
7775,13
7778,4
7779,1
7785,1
7793,5
7794,1
7795,3
7801,2
7806,1
7813,7
7815,5
7819,1
7830,1
7838,8
7844,2
7858,3
7872,10
7874,1
7880,3
7884,5
7906,1
7909,1
7920,1
7925,1
7927,3
7939,7
7944,6
7945,1
7955,8
7956,1
7962,10
7967,10
7977,3
7983,1
7991,1
7993,1
8000,1
8019,7
8026,8
8035,8
8036,7
8046,1
8048,2
8054,1
8060,3
8063,8
8068,3
8071,5
8081,7
8096,6
8103,2
8104,5
8106,3
8109,3
8111,5
8123,2
8129,4
8144,12
8152,2
8154,2
8157,8
8162,2
8163,1
8171,5
8179,13
8180,11
8182,6
8185,11
8190,5
8199,1
8201,3
8208,11
8209,4
8210,11
8215,11
8219,5
8225,11
8227,4
8230,7
8233,3
8236,1
8246,10
8253,1
8254,2
8259,12
8266,3
8267,13
8282,11
8286,3
8289,2
8292,12
8297,8
8299,7
8301,15
8302,1
8314,4
8318,12
8321,4
8323,3
8330,5
8334,3
8335,1
8351,4
8352,11
8356,5
8362,9
8365,1
8366,2
8374,3
8378,1
8380,1
8383,4
8391,11
8397,5
8399,3
8401,5
8403,9
8407,11
8408,3
8413,6
8419,1
8421,4
8423,1
8426,1
8429,1
8430,16
8438,12
8444,1
8450,7
8451,5
8455,4
8456,3
8459,1
8468,4
8469,6
8482,11
8483,2
8484,2
8491,3
8493,4
8495,10
8499,10
8505,12
8506,13
8507,3
8520,4
8524,1
8528,3
8530,2
8531,2
8533,2
8536,17
8538,1
8539,18
8541,4
8552,11
8555,4
8557,8
8559,2
8566,2
8571,12
8577,4
8580,1
8582,9
8588,9
8590,1
8595,9
8599,3
8610,4
8615,3
8620,4
8625,1
8632,3
8645,4
8651,8
8655,2
8660,9
8661,4
8674,2
8694,5
8696,4
8704,7
8710,3
8715,3
8720,8
8724,6
8732,1
8738,1
8742,1
8745,1
8749,6
8751,2
8760,5
8768,1
8769,5
8774,7
8779,10
8780,3
8781,1
8786,3
8788,6
8790,4
8795,2
8796,3
8804,8
8807,1
8808,2
8812,5
8827,6
8830,2
8833,1
8836,1
8847,3
8848,6
8858,1
8859,7
8870,16
8876,4
8886,1
8892,1
8898,4
8916,6
8924,2
8928,1
8929,1
8936,5
8954,3
8964,4
8968,1
8975,6
8992,1
8998,1
9005,1
9021,10
9032,1
9038,3
9039,4
9041,2
9044,1
9050,6
9057,4
9071,5
9072,5
9083,3
9090,2
9094,8
9096,4
9099,11
9101,4
9106,1
9113,1
9117,13
9119,4
9120,2
9121,2
9135,3
9136,14
9137,2
9140,1
9141,10
9147,2
9153,1
9161,10
9177,5
9181,1
9182,1
9185,1
9190,9
9192,1
9220,10
9224,6
9232,4
9234,3
9237,9
9241,1
9250,3
9252,4
9272,1
9281,3
9282,2
9287,4
9289,7
9298,2
9303,4
9306,4
9307,1
9308,1
9311,1
9322,9
9323,1
9324,1
9325,3
9330,2
9331,1
9336,1
9341,5
9345,3
9358,1
9360,4
9362,2
9366,3
9383,7
9387,2
9392,1
9394,1
9405,2
9412,8
9419,5
9427,1
9430,4
9435,5
9442,1
9455,9
9457,4
9460,4
9479,4
9487,4
9492,1
9496,5
9512,3
9513,1
9517,8
9521,2
9540,8
9541,2
9557,9
9574,9
9578,1
9579,4
9584,4
9587,14
9590,9
9602,4
9607,4
9611,1
9624,6
9629,2
9631,1
9632,1
9647,10
9658,1
9660,2
9663,2
9674,3
9680,1
9684,8
9685,4
9689,1
9692,6
9698,1
9704,7
9707,1
9708,2
9719,4
9734,11
9738,5
9747,7
9752,2
9760,2
9761,1
9766,10
9773,1
9787,3
9794,1
9795,12
9800,1
9802,1
9805,4
9808,1
9816,10
9820,14
9832,4
9833,7
9840,9
9841,10
9843,1
9849,10
9851,5
9862,4
9867,1
9868,1
9874,13
9876,12
9878,3
9881,4
9886,3
9900,13
9903,9
9904,4
9915,2
9916,4
9923,10
9925,3
9931,2
9934,2
9946,5
9955,9
9964,10
9972,10
9974,4
9975,1
9993,11
10005,3
10009,2
10023,7
10030,3
10042,1
10043,5
10065,7
10066,3
10068,2
10070,6
10071,1
10072,4
10077,3
10082,14
10085,1
10089,4
10097,9
10099,4
10120,5
10135,3
10140,3
10142,9
10153,2
10155,3
10158,2
10159,1
10161,3
10169,1
10186,4
10195,1
10197,3
10201,3
10205,1
10207,4
10216,1
10219,2
10228,1
10238,3
10239,11
10252,4
10271,3
10274,5
10275,9
10276,8
10283,4
10304,8
10307,3
10314,8
10326,6
10328,10
10329,11
10335,12
10338,6
10344,1
10347,1
10355,2
10356,11
10359,8
10367,1
10371,3
10378,1
10382,4
10385,8
10389,5
10392,8
10403,8
10406,2
10409,9
10410,9
10425,5
10428,11
10431,1
10434,7
10439,2
10445,4
10450,1
10455,1
10456,14
10464,1
10476,4
10478,5
10482,13
10487,2
10500,5
10504,1
10511,6
10513,5
10518,3
10527,7
10528,1
10541,1
10544,2
10548,2
10558,8
10575,2
10590,5
10593,1
10595,2
10613,1
10616,4
10633,1
10699,6
10702,4
10703,1
10716,9
10725,2
10737,1
10740,1
10745,1
10748,1
10749,4
10759,1
10760,6
10765,1
10770,4
10773,9
10785,3
10790,2
10796,2
10806,1
10813,8
10826,7
10831,1
10833,8
10847,8
10853,6
10875,3
10877,4
10889,6
10894,1
10897,2
10908,4
10920,1
10934,1
10937,6
10950,2
10953,4
10958,8
10959,3
10960,3
10962,2
10967,4
10977,1
10982,2
10985,1
10991,3
10998,2
11002,5
11006,11
11011,3
11020,2
11021,8
11024,2
11031,1
11034,7
11036,2
11037,2
11039,3
11040,5
11042,11
11045,2
11050,3
11051,9
11053,2
11057,10
11072,1
11073,2
11075,5
11081,8
11083,2
11089,6
11093,2
11102,2
11108,9
11109,9
11110,13
11120,2
11126,7
11128,1
11130,1
11134,15
11137,2
11141,2
11143,8
11144,6
11160,2
11161,8
11163,5
11173,2
11174,7
11178,4
11185,7
11196,3
11218,2
11221,5
11222,2
11227,4
11228,2
11232,1
11245,9
11250,1
11253,1
11255,2
11260,5
11265,1
11272,4
11279,6
11281,5
11282,1
11285,1
11287,2
11290,1
11302,1
11320,4
11335,2
11347,10
11365,6
11370,8
11379,4
11382,6
11409,1
11415,2
11421,1
11427,11
11432,1
11441,5
11448,4
11450,10
11461,8
11467,2
11469,4
11474,2
11492,9
11505,9
11509,6
11519,2
11528,7
11537,2
11549,14
11550,1
11567,2
11568,7
11574,8
11587,1
11591,2
11594,2
11599,2
11607,9
11608,3
11632,4
11642,8
11643,4
11644,10
11645,3
11651,4
11667,3
11668,1
11671,1
11675,6
11678,1
11691,1
11694,6
11698,4
11709,5
11716,7
11742,2
11744,1
11746,2
11751,10
11752,3
11774,2
11777,10
11782,4
11786,3
11797,8
11806,1
11814,2
11820,5
11825,8
11827,5
11829,1
11834,4
11837,3
11848,8
11849,1
11851,1
11865,4
11870,1
11871,6
11881,10
11884,1
11889,1
11898,2
11901,1
11902,5
11905,8
11908,11
11909,1
11915,7
11924,8
11926,7
11932,1
11936,4
11938,5
11944,6
11947,7
11957,3
11965,8
11967,5
11968,3
11973,1
11975,1
11977,7
11991,1
11997,3
12004,3
12020,4
12031,9
12035,1
12037,7
12051,5
12058,4
12059,4
12062,4
12070,3
12076,9
12086,1
12087,1
12091,3
12100,7
12103,4
12117,15
12118,10
12129,4
12131,1
12134,5
12140,6
12144,1
12148,12
12164,1
12167,2
12171,1
12188,2
12191,6
12197,7
12200,2
12211,4
12213,11
12214,5
12237,3
12262,1
12266,1
12271,1
12272,5
12274,1
12281,4
12284,1
12315,5
12321,2
12327,6
12333,1
12342,1
12350,2
12354,1
12364,9
12379,7
12402,7
12410,6
12425,1
12429,4
12432,1
12450,10
12452,9
12457,1
12461,8
12465,4
12470,3
12474,2
12479,13
12486,4
12491,7
12495,1
12499,8
12500,1
12505,6
12506,8
12507,5
12524,9
12531,2
12534,5
12540,4
12545,1
12548,6
12550,1
12555,1
12560,4
12562,1
12584,3
12610,7
12625,1
12649,1
12654,5
12661,1
12664,1
12674,3
12700,3
12704,6
12708,1
12711,1
12716,7
12747,3
12762,5
12775,1
12787,3
12788,4
12790,14
12805,3
12806,3
12810,10
12814,1
12822,4
12825,10
12828,4
12830,2
12835,1
12840,5
12843,1
12844,8
12862,6
12872,8
12874,3
12879,3
12880,2
12884,1
12893,9
12898,4
12913,1
12916,6
12919,1
12920,1
12924,5
12933,2
12934,1
12938,3
12940,1
12942,2
12948,10
12952,1
12955,1
12956,11
12957,1
12958,6
12960,1
12971,9
12988,10
12997,2
13001,9
13002,1
13012,4
13014,4
13016,9
13019,2
13020,3
13026,6
13027,1
13033,9
13034,4
13048,15
13056,2
13067,1
13073,7
13078,1
13082,8
13091,11
13096,2
13100,1
13102,4
13104,11
13112,4
13121,12
13126,2
13130,1
13134,1
13135,10
13147,3
13165,2
13176,4
13177,5
13195,2
13208,1
13209,10
13212,8
13219,1
13226,2
13229,8
13255,5
13264,6
13270,10
13283,10
13284,7
13285,8
13287,2
13304,10
13307,6
13308,4
13310,1
13313,2
13325,4
13333,5
13334,1
13340,2
13346,2
13349,2
13368,4
13370,8
13374,1
13385,3
13392,8
13396,1
13397,11
13402,1
13412,6
13427,9
13430,1
13437,1
13447,2
13453,4
13456,1
13457,2
13459,5
13467,2
13473,1
13475,6
13479,1
13481,1
13483,3
13487,1
13488,1
13492,3
13496,1
13504,1
13510,7
13516,6
13522,5
13537,1
13539,1
13540,3
13552,1
13559,4
13573,12
13578,3
13579,1
13591,1
13597,19
13608,8
13631,2
13633,1
13634,21
13637,3
13639,7
13647,5
13657,1
13666,1
13669,8
13671,6
13674,4
13679,1
13684,6
13686,1
13703,1
13706,1
13710,6
13712,5
13714,5
13716,1
13718,1
13719,4
13727,6
13730,9
13732,6
13737,7
13739,5
13743,1
13746,5
13751,1
13756,7
13762,8
13784,7
13785,3
13791,6
13802,9
13803,4
13812,2
13839,1
13861,1
13869,1
13871,8
13885,5
13886,11
13887,11
13900,3
13901,8
13909,2
13912,1
13918,3
13923,1
13936,4
13941,3
13942,4
13956,7
13957,13
13958,1
13959,4
13963,8
13968,4
13969,8
13974,5
13984,11
13986,8
13990,4
13993,9
14006,7
14015,2
14025,10
14034,7
14035,11
14039,8
14044,2
14050,2
14058,12
14062,3
14063,12
14080,8
14084,7
14085,1
14086,5
14087,3
14093,2
14112,10
14114,1
14116,9
14128,1
14130,5
14132,11
14134,1
14135,4
14137,4
14139,1
14170,4
14182,1
14187,9
14193,3
14200,7
14205,10
14217,6
14223,3
14225,1
14230,5
14236,10
14249,2
14261,6
14269,5
14271,8
14275,1
14283,7
14285,1
14287,1
14290,9
14299,9
14314,1
14320,8
14323,9
14324,2
14325,10
14326,1
14330,1
14332,2
14334,9
14341,1
14342,1
14348,9
14365,10
14374,10
14385,5
14388,7
14390,7
14397,1
14402,1
14403,1
14404,7
14410,5
14414,5
14426,1
14430,6
14435,7
14436,1
14442,4
14458,7
14461,3
14463,7
14469,4
14475,6
14477,8
14487,1
14489,5
14494,1
14497,11
14512,9
14516,9
14521,8
14531,1
14540,2
14556,1
14562,1
14567,3
14569,1
14570,6
14571,6
14574,10
14587,2
14589,2
14590,6
14591,8
14593,5
14597,2
14615,4
14617,5
14633,2
14636,1
14639,3
14645,13
14650,3
14656,1
14664,10
14672,10
14692,9
14693,5
14705,1
14710,3
14721,1
14733,2
14736,6
14737,14
14742,3
14751,10
14754,5
14759,9
14764,13
14767,4
14771,2
14777,1
14782,6
14792,13
14797,1
14800,3
14809,4
14816,1
14825,1
14833,1
14838,1
14839,6
14849,2
14850,1
14858,7
14860,14
14865,1
14867,3
14868,10
14872,7
14874,3
14877,9
14879,2
14888,10
14895,12
14897,12
14901,6
14910,2
14914,6
14915,11
14918,2
14921,1
14926,12
14927,6
14932,1
14937,3
14939,9
14942,10
14944,6
14945,1
14946,11
14947,7
14950,10
14955,8
14966,8
14969,7
14970,7
14972,9
14974,1
14977,7
14990,2
14992,8
14999,5
15000,6
15010,1
15013,1
15026,3
15030,10
15034,10
15046,9
15049,10
15053,1
15059,1
15069,1
15075,4
15080,7
15092,2
15097,10
15105,1
15109,11
15114,13
15117,1
15136,7
15142,1
15143,1
15148,4
15173,2
15183,1
15187,7
15192,3
15193,4
15217,1
15218,1
15220,1
15221,5
15223,5
15240,2
15251,2
15252,9
15258,1
15266,7
15276,9
15286,4
15290,3
15298,10
15299,1
15305,3
15311,1
15319,1
15324,1
15331,1
15333,9
15335,3
15337,1
15343,2
15348,7
15360,11
15382,10
15403,1
15411,3
15415,10
15431,1
15444,11
15448,5
15453,1
15459,3
15474,5
15479,7
15488,11
15490,1
15501,5
15517,4
15518,13
15520,1
15530,9
15536,1
15539,4
15540,9
15547,5
15564,1
15565,4
15572,2
15593,3
15596,1
15609,12
15616,2
15630,11
15631,5
15637,5
15643,10
15651,5
15652,1
15660,3
15661,11
15663,7
15673,1
15674,1
15680,4
15682,8
15683,1
15687,9
15688,2
15696,10
15697,2
15708,3
15714,2
15719,10
15727,2
15740,4
15742,3
15749,8
15759,13
15768,4
15769,9
15770,1
15773,1
15787,1
15795,2
15800,5
15801,1
15815,1
15819,11
15820,11
15823,1
15826,7
15834,1
15843,12
15847,2
15851,6
15852,1
15853,2
15857,1
15866,1
15877,4
15879,12
15883,1
15884,2
15887,1
15892,7
15898,7
15899,7
15900,1
15901,6
15904,6
15911,1
15914,7
15926,9
15927,6
15932,3
15933,2
15936,3
15949,5
15957,10
15962,4
15963,7
15968,4
15970,6
15978,4
15983,7
15985,9
15990,4
15999,4
16010,8
16011,9
16014,1
16016,2
16021,2
16026,5
16029,1
16032,6
16033,5
16037,2
16050,3
16051,1
16052,4
16067,8
16076,5
16078,1
16084,1
16087,1
16091,2
16095,4
16100,1
16109,5
16118,1
16125,1
16130,1
16143,1
16144,2
16173,1
16179,9
16180,1
16187,1
16188,8
16199,7
16202,1
16205,6
16206,1
16207,1
16220,3
16236,7
16241,2
16242,1
16254,1
16256,1
16257,2
16261,1
16278,1
16280,1
16281,4
16284,2
16287,1
16288,1
16290,3
16291,1
16296,1
16299,2
16307,3
16310,2
16314,1
16331,1
16341,9
16348,1
16354,7
16362,4
16363,6
16375,6
16379,1
16381,1
16382,1
16388,1
16397,1
16399,10
16408,7
16414,1
16422,1
16423,5
