ip,day,hour,ip_day_hour_channel_0
1108,10,4,9
1113,10,4,1
1114,6,16,2
1117,6,16,14
1117,10,4,1
1127,10,4,18
1140,6,16,10
1142,6,16,5
1143,10,4,22
1147,10,4,5
1149,10,4,5
1158,10,4,2
1165,10,4,5
1173,10,4,5
1176,6,16,13
1176,10,4,10
1186,6,16,3
1186,10,4,5
1195,10,4,1
1204,10,4,21
1206,6,16,6
1206,10,4,8
1220,10,4,3
1228,10,4,7
1235,6,16,10
1235,10,4,15
1237,6,16,2
1237,10,4,2
1247,10,4,4
1256,6,16,59
1256,10,4,20
1261,6,16,2
1261,10,4,5
1264,10,4,1
1266,6,16,1
1268,10,4,7
1281,10,4,4
1285,6,16,37
1285,10,4,18
1289,6,16,2
1289,10,4,1
1290,10,4,1
1292,6,16,2
1292,10,4,2
1306,10,4,1
1313,6,16,10
1313,10,4,10
1314,10,4,1
1319,6,16,1
1332,10,4,11
1337,6,16,17
1337,10,4,21
1343,6,16,5
1343,10,4,15
1345,10,4,4
1357,10,4,10
1365,6,16,18
1365,10,4,3
1370,10,4,1
1372,6,16,7
1372,10,4,4
1376,10,4,2
1388,10,4,4
1393,10,4,3
1394,10,4,14
1395,6,16,1
1395,10,4,8
1413,6,16,2
1414,6,16,1
1415,6,16,18
1415,10,4,20
1419,6,16,1
1421,10,4,3
1433,6,16,4
1433,10,4,6
1439,6,16,9
1456,10,4,4
1458,10,4,7
1462,6,16,11
1462,10,4,1
1468,10,4,1
1471,10,4,1
1477,10,4,1
1479,10,4,1
1486,10,4,3
1493,10,4,6
1494,6,16,8
1494,10,4,6
1519,6,16,34
1519,10,4,7
1523,10,4,1
1524,10,4,17
1532,10,4,1
1543,6,16,12
1547,10,4,8
1549,6,16,8
1556,10,4,11
1560,6,16,1
1560,10,4,4
1579,6,16,3
1583,6,16,16
1584,6,16,18
1584,10,4,1
1586,6,16,4
1600,10,4,4
1601,10,4,6
1603,6,16,15
1611,10,4,6
1616,10,4,14
1626,6,16,10
1626,10,4,4
1632,10,4,4
1634,6,16,4
1634,10,4,1
1638,10,4,17
1655,6,16,1
1659,6,16,5
1659,10,4,9
1661,6,16,2
1661,10,4,4
1665,6,16,9
1665,10,4,1
1669,10,4,18
1673,10,4,31
1675,10,4,1
1678,10,4,6
1693,10,4,1
1694,6,16,19
1694,10,4,7
1697,6,16,2
1699,6,16,7
1700,10,4,7
1702,6,16,2
1706,10,4,2
1709,6,16,2
1712,10,4,1
1713,10,4,4
1716,6,16,1
1720,6,16,4
1720,10,4,4
1721,6,16,1
1722,10,4,2
1732,6,16,39
1755,6,16,6
1759,6,16,3
1759,10,4,10
1762,10,4,3
1763,6,16,5
1763,10,4,10
1766,10,4,1
1768,6,16,2
1769,6,16,6
1769,10,4,6
1771,10,4,1
1778,6,16,2
1780,6,16,13
1780,10,4,1
1785,10,4,4
1790,10,4,1
1798,6,16,2
1800,10,4,5
1801,6,16,12
1801,10,4,8
1810,6,16,10
1810,10,4,19
1813,10,4,1
1821,10,4,9
1825,10,4,3
1826,10,4,1
1831,10,4,10
1839,10,4,2
1863,6,16,1
1863,10,4,2
1868,6,16,1
1871,6,16,4
1881,6,16,2
1890,6,16,21
1890,10,4,17
1892,6,16,10
1900,10,4,3
1909,6,16,4
1909,10,4,7
1919,6,16,3
1919,10,4,5
1921,10,4,7
1923,6,16,3
1964,10,4,7
1990,10,4,4
1992,6,16,2
1994,10,4,2
2017,6,16,1
2018,10,4,3
2022,10,4,10
2027,6,16,2
2027,10,4,4
2052,10,4,1
2076,6,16,40
2076,10,4,33
2086,10,4,1
2087,10,4,9
2095,6,16,53
2095,10,4,27
2105,10,4,5
2112,6,16,1
2113,6,16,6
2113,10,4,2
2119,10,4,3
2127,6,16,24
2127,10,4,7
2128,6,16,1
2144,10,4,1
2153,6,16,5
2160,6,16,11
2162,10,4,2
2164,10,4,3
2165,10,4,9
2171,10,4,2
2176,10,4,4
2178,6,16,7
2180,6,16,12
2180,10,4,26
2186,6,16,3
2186,10,4,8
2187,6,16,1
2187,10,4,1
2189,6,16,4
2189,10,4,7
2199,10,4,1
2201,10,4,11
2207,6,16,12
2207,10,4,7
2208,6,16,11
2210,6,16,12
2211,6,16,10
2211,10,4,6
2214,10,4,3
2228,6,16,6
2228,10,4,3
2235,10,4,12
2237,10,4,4
2238,10,4,1
2254,6,16,11
2254,10,4,12
2259,10,4,1
2272,10,4,10
2277,10,4,6
2281,10,4,3
2284,6,16,8
2284,10,4,2
2290,6,16,7
2290,10,4,3
2293,6,16,3
2293,10,4,5
2299,10,4,1
2306,6,16,2
2306,10,4,8
2311,10,4,2
2321,10,4,7
2332,6,16,11
2332,10,4,5
2334,6,16,12
2334,10,4,10
2336,10,4,1
2343,6,16,1
2348,10,4,20
2357,10,4,16
2358,6,16,1
2358,10,4,2
2359,6,16,1
2372,6,16,7
2372,10,4,8
2378,6,16,1
2382,10,4,1
2385,6,16,1
2385,10,4,8
2388,10,4,3
2391,10,4,1
2399,6,16,4
2399,10,4,1
2400,10,4,2
2404,6,16,12
2404,10,4,3
2407,6,16,4
2407,10,4,5
2409,6,16,1
2409,10,4,5
2415,10,4,7
2435,10,4,1
2437,10,4,15
2440,10,4,2
2442,6,16,3
2450,10,4,1
2458,6,16,1
2463,6,16,1
2463,10,4,15
2468,10,4,10
2469,6,16,11
2469,10,4,10
2471,10,4,1
2478,6,16,6
2478,10,4,2
2491,6,16,8
2494,6,16,5
2502,6,16,2
2502,10,4,2
2508,10,4,1
2509,10,4,5
2511,6,16,1
2511,10,4,2
2513,6,16,3
2528,6,16,7
2528,10,4,6
2531,10,4,1
2538,10,4,1
2539,6,16,2
2539,10,4,3
2544,6,16,1
2544,10,4,2
2550,10,4,2
2556,10,4,14
2561,6,16,2
2561,10,4,9
2563,10,4,1
2564,6,15,1
2564,6,16,15
2564,10,4,9
2565,6,16,7
2565,10,4,14
2572,6,16,14
2572,10,4,1
2574,10,4,8
2578,10,4,10
2585,6,16,1
2585,10,4,6
2589,6,16,13
2589,10,4,1
2596,6,16,1
2600,6,15,1
2600,6,16,31
2600,10,4,7
2602,10,4,2
2603,6,16,10
2603,10,4,8
2609,10,4,7
2614,6,16,1
2614,10,4,1
2615,6,16,9
2631,10,4,1
2638,6,16,4
2638,10,4,1
2643,6,16,1
2643,10,4,10
2647,10,4,3
2649,10,4,7
2651,10,4,6
2652,10,4,1
2654,10,4,3
2655,10,4,7
2657,10,4,12
2660,10,4,15
2668,10,4,2
2669,6,16,2
2669,10,4,11
2671,6,16,3
2671,10,4,17
2680,10,4,3
2682,10,4,4
2683,10,4,11
2684,6,16,4
2696,10,4,5
2698,6,16,15
2698,10,4,6
2710,6,16,2
2711,10,4,5
2713,10,4,4
2714,10,4,4
2720,10,4,1
2728,6,16,1
2728,10,4,2
2732,6,16,1
2732,10,4,10
2735,6,16,2
2736,10,4,2
2740,6,16,2
2741,10,4,2
2742,6,16,3
2748,6,16,12
2751,10,4,1
2759,6,16,14
2759,10,4,12
2760,6,16,4
2760,10,4,5
2765,10,4,4
2768,10,4,2
2770,6,16,19
2770,10,4,5
2773,6,16,7
2774,10,4,6
2779,10,4,1
2780,6,16,10
2782,10,4,2
2784,6,16,7
2784,10,4,1
2801,6,16,2
2805,6,14,1
2805,6,16,50
2805,10,4,12
2808,6,16,2
2810,6,16,14
2810,10,4,8
2813,10,4,2
2814,10,4,4
2821,6,16,9
2821,10,4,1
2825,10,4,7
2841,10,4,8
2842,6,16,1
2842,10,4,4
2844,6,16,1
2847,10,4,10
2849,6,16,4
2850,10,4,1
2851,10,4,1
2852,10,4,2
2857,10,4,4
2858,6,16,7
2858,10,4,5
2864,6,16,5
2864,10,4,1
2872,10,4,13
2876,6,16,1
2876,10,4,1
2882,10,4,4
2884,10,4,1
2886,10,4,4
2895,6,16,2
2895,10,4,3
2899,10,4,1
2903,10,4,1
2905,10,4,8
2907,10,4,4
2911,6,16,1
2911,10,4,18
2919,6,16,1
2929,10,4,2
2933,6,16,2
2936,10,4,3
2937,10,4,8
2938,6,16,22
2941,6,16,3
2944,10,4,9
2949,10,4,2
2959,6,16,2
2965,6,16,8
2966,10,4,1
2970,10,4,1
2976,6,16,2
2976,10,4,2
2979,6,16,2
2982,10,4,1
2986,6,16,1
2988,6,16,1
2996,6,16,2
3005,6,16,3
3009,6,16,1
3009,10,4,19
3015,10,4,2
3019,10,4,11
3020,10,4,1
3028,10,4,3
3038,6,16,14
3038,10,4,7
3041,10,4,8
3048,6,16,3
3048,10,4,14
3067,10,4,2
3071,10,4,7
3073,10,4,13
3080,10,4,1
3084,6,16,9
3084,10,4,6
3085,10,4,1
3088,10,4,1
3093,6,16,29
3101,6,16,2
3101,10,4,12
3102,6,16,3
3102,10,4,18
3103,6,16,5
3103,10,4,2
3113,10,4,1
3131,6,16,6
3133,6,16,10
3136,10,4,3
3139,10,4,4
3162,10,4,5
3163,6,16,1
3165,10,4,4
3167,6,16,1
3176,10,4,2
3178,6,16,1
3178,10,4,9
3179,6,16,3
3183,6,16,1
3183,10,4,2
3192,10,4,4
3196,6,16,5
3196,10,4,2
3197,6,16,1
3197,10,4,13
3201,10,4,2
3205,10,4,1
3210,6,16,14
3210,10,4,11
3214,10,4,4
3218,6,16,1
3219,6,16,19
3219,10,4,11
3239,6,16,5
3239,10,4,1
3247,10,4,1
3253,6,16,2
3262,6,16,2
3262,10,4,4
3268,10,4,1
3271,10,4,2
3279,6,16,5
3279,10,4,8
3288,6,16,8
3288,10,4,23
3294,6,16,6
3294,10,4,5
3307,6,16,6
3307,10,4,8
3313,6,16,8
3313,10,4,13
3314,10,4,3
3316,10,4,1
3325,10,4,5
3332,6,16,5
3332,10,4,11
3334,10,4,6
3338,10,4,8
3339,6,16,7
3339,10,4,6
3348,10,4,1
3355,6,16,2
3355,10,4,1
3359,10,4,1
3363,6,16,2
3363,10,4,6
3376,6,16,3
3382,6,16,6
3382,10,4,3
3399,10,4,1
3403,6,16,1
3403,10,4,7
3406,6,16,1
3406,10,4,2
3408,10,4,1
3410,6,16,2
3411,10,4,4
3425,6,15,1
3425,10,4,9
3432,6,16,2
3432,10,4,8
3435,10,4,1
3437,6,15,1
3437,6,16,7
3437,10,4,5
3441,10,4,3
3442,6,16,1
3453,10,4,1
3457,10,4,5
3461,6,16,2
3461,10,4,6
3471,6,16,8
3472,6,16,12
3472,10,4,1
3482,10,4,2
3488,6,16,2
3488,10,4,12
3499,10,4,3
3505,6,16,7
3505,10,4,1
3511,10,4,5
3520,6,16,7
3520,10,4,4
3550,10,4,8
3553,6,16,6
3553,10,4,7
3559,6,16,14
3564,6,16,7
3574,10,4,6
3576,6,16,1
3590,10,4,1
3591,10,4,9
3594,6,16,4
3594,10,4,1
3611,6,16,4
3612,10,4,2
3634,6,16,5
3634,10,4,1
3641,10,4,1
3651,10,4,1
3653,6,15,1
3653,10,4,1
3674,10,4,1
3688,6,16,4
3691,10,4,3
3692,10,4,2
3703,10,4,4
3723,10,4,6
3730,6,16,7
3730,10,4,5
3731,10,4,2
3737,6,16,9
3737,10,4,7
3743,6,16,3
3743,10,4,12
3744,6,16,9
3756,6,16,18
3763,6,16,1
3763,10,4,9
3774,10,4,8
3782,6,16,1
3782,10,4,2
3786,10,4,2
3787,10,4,7
3789,10,4,1
3794,6,16,8
3794,10,4,2
3795,10,4,4
3797,10,4,1
3803,10,4,1
3808,6,16,6
3813,10,4,1
3823,10,4,4
3828,10,4,5
3835,6,16,22
3835,10,4,2
3844,6,16,4
3845,6,16,2
3859,6,16,3
3859,10,4,7
3860,6,16,2
3862,10,4,1
3875,6,16,1
3875,10,4,12
3882,6,16,14
3889,6,16,2
3889,10,4,6
3903,6,16,1
3904,6,16,1
3904,10,4,1
3907,6,16,3
3947,10,4,1
3958,10,4,1
3964,6,16,95
3964,10,4,50
3978,10,4,2
3981,6,16,7
3985,10,4,1
3994,6,16,138
3994,10,4,65
4010,10,4,2
4015,6,16,1
4015,10,4,6
4019,6,16,67
4019,10,4,46
4022,10,4,11
4042,10,4,4
4043,10,4,4
4052,6,16,73
4052,10,4,51
4075,6,16,3
4085,10,4,1
4093,6,16,17
4094,6,16,10
4094,10,4,1
4102,6,16,3
4102,10,4,8
4107,10,4,7
4117,10,4,5
4123,10,4,1
4126,10,4,1
4127,6,16,5
4127,10,4,6
4136,10,4,13
4145,10,4,1
4147,6,16,9
4172,10,4,20
4173,6,16,1
4174,6,16,1
4174,10,4,1
4175,10,4,2
4177,10,4,16
4180,6,16,1
4193,10,4,1
4202,10,4,1
4203,6,16,5
4214,6,16,3
4220,6,16,11
4241,10,4,8
4248,10,4,1
4253,10,4,2
4259,6,16,1
4259,10,4,10
4264,6,16,2
4264,10,4,1
4267,10,4,1
4270,6,16,9
4271,6,16,2
4271,10,4,7
4280,6,16,9
4285,10,4,6
4295,6,16,14
4295,10,4,11
4296,6,16,1
4303,6,16,11
4304,10,4,4
4308,6,16,7
4308,10,4,1
4315,10,4,5
4324,6,16,13
4324,10,4,10
4328,10,4,5
4330,6,16,14
4330,10,4,1
4332,10,4,5
4333,10,4,1
4334,6,16,4
4339,10,4,5
4345,6,16,9
4345,10,4,10
4353,6,16,6
4353,10,4,5
4356,10,4,2
4361,6,16,1
4366,10,4,3
4375,10,4,4
4381,10,4,3
4382,10,4,15
4389,10,4,4
4393,6,16,13
4393,10,4,2
4397,6,16,2
4398,6,16,1
4398,10,4,1
4403,6,16,16
4405,6,16,18
4405,10,4,24
4407,10,4,3
4413,10,4,17
4414,6,16,9
4414,10,4,5
4420,10,4,4
4427,6,16,7
4432,10,4,12
4435,10,4,8
4436,6,16,15
4437,6,16,1
4437,10,4,6
4442,6,16,6
4442,10,4,13
4448,10,4,4
4451,10,4,5
4461,6,16,7
4461,10,4,3
4464,6,16,2
4465,6,16,2
4465,10,4,26
4475,10,4,5
4476,6,16,3
4476,10,4,2
4486,6,16,5
4486,10,4,5
4489,6,16,4
4496,10,4,5
4497,10,4,5
4499,10,4,1
4501,10,4,11
4502,10,4,19
4503,6,16,1
4505,10,4,9
4511,6,16,2
4514,6,16,2
4521,10,4,12
4526,10,4,11
4536,6,16,1
4536,10,4,14
4540,10,4,13
4542,6,16,2
4542,10,4,8
4543,10,4,10
4548,6,16,2
4553,6,16,4
4553,10,4,11
4554,10,4,8
4559,6,16,24
4559,10,4,17
4560,10,4,1
4563,6,16,3
4565,6,16,2
4567,6,16,2
4570,6,16,2
4571,10,4,14
4573,6,16,2
4573,10,4,2
4577,6,16,2
4592,10,4,3
4600,10,4,4
4602,6,16,8
4604,10,4,2
4611,10,4,6
4623,10,4,2
4626,10,4,11
4629,10,4,9
4630,6,16,1
4630,10,4,1
4633,10,4,6
4643,6,16,3
4645,10,4,1
4646,6,16,13
4646,10,4,6
4652,6,16,7
4652,10,4,3
4653,10,4,6
4654,10,4,8
4664,6,16,7
4670,6,16,1
4670,10,4,32
4676,6,16,5
4678,6,16,3
4680,10,4,9
4683,6,16,3
4683,10,4,5
4689,6,16,1
4689,10,4,2
4690,6,16,5
4693,6,16,4
4693,10,4,5
4701,10,4,4
4703,10,4,4
4715,10,4,1
4720,10,4,4
4722,6,16,6
4722,10,4,1
4724,10,4,5
4727,10,4,1
4737,6,16,4
4741,6,16,2
4741,10,4,11
4744,10,4,11
4746,10,4,2
4753,10,4,1
4754,10,4,1
4759,6,16,4
4759,10,4,2
4763,10,4,1
4764,10,4,7
4769,10,4,1
4777,6,16,9
4779,6,16,1
4779,10,4,1
4786,10,4,16
4789,10,4,1
4803,10,4,1
4805,10,4,3
4806,6,16,3
4809,10,4,14
4825,6,16,2
4825,10,4,3
4831,10,4,6
4841,6,16,3
4843,10,4,8
4856,10,4,3
4862,6,16,7
4864,10,4,1
4868,10,4,1
4875,6,16,9
4876,6,16,2
4886,6,16,2
4886,10,4,5
4887,10,4,2
4889,10,4,8
4903,6,16,1
4903,10,4,16
4906,10,4,1
4913,10,4,1
4919,6,16,13
4919,10,4,9
4930,10,4,12
4937,10,4,1
4938,10,4,2
4946,6,16,5
4946,10,4,4
4948,10,4,7
4951,6,16,2
4951,10,4,7
4957,6,16,2
4962,10,4,1
4963,10,4,1
4964,6,16,3
4964,10,4,4
4968,10,4,1
4977,6,16,9
4977,10,4,12
4983,6,16,11
4983,10,4,4
4988,10,4,1
4989,6,16,51
5004,10,4,10
5011,6,16,3
5011,10,4,20
5016,10,4,1
5032,6,16,6
5032,10,4,5
5036,6,16,1
5036,10,4,15
5038,6,16,18
5038,10,4,12
5044,6,16,17
5044,10,4,8
5060,10,4,4
5064,10,4,4
5065,6,16,2
5072,6,16,17
5072,10,4,6
5073,10,4,1
5074,6,16,10
5074,10,4,4
5077,6,16,6
5098,6,16,2
5098,10,4,9
5118,6,16,2
5118,10,4,8
5125,6,16,3
5128,10,4,13
5132,6,16,10
5132,10,4,6
5135,6,16,7
5135,10,4,5
5146,10,4,18
5147,10,4,247
5168,6,16,12
5178,10,4,230
5184,10,4,5
5185,10,4,1
5200,6,16,9
5200,10,4,22
5208,10,4,3
5211,10,4,6
5222,6,16,2
5222,10,4,3
5223,6,16,1
5223,10,4,1
5250,6,16,1
5250,10,4,6
5252,10,4,1
5257,6,16,2
5262,6,16,3
5262,10,4,12
5270,6,15,1
5270,10,4,9
5275,6,16,4
5281,6,16,5
5281,10,4,7
5282,6,16,2
5295,10,4,1
5296,6,16,10
5299,6,16,9
5299,10,4,2
5300,6,16,5
5300,10,4,1
5306,6,16,2
5306,10,4,1
5308,6,16,1
5313,6,16,10
5314,6,15,1
5314,6,16,336
5314,10,4,420
5322,10,4,1
5323,6,15,1
5323,6,16,3
5325,6,16,3
5328,6,16,1
5328,10,4,3
5333,6,16,1
5333,10,4,5
5336,6,16,3
5338,10,4,6
5341,6,16,8
5347,10,4,11
5348,6,16,314
5348,10,4,437
5359,6,16,4
5359,10,4,10
5362,6,16,1
5369,6,16,2
5371,6,16,1
5371,10,4,1
5380,10,4,1
5381,10,4,11
5384,6,16,1
5384,10,4,2
5393,6,16,1
5393,10,4,2
5401,10,4,2
5402,6,16,3
5402,10,4,2
5404,6,16,3
5407,10,4,1
5413,10,4,15
5417,10,4,6
5418,10,4,10
5419,10,4,2
5420,10,4,1
5423,6,16,6
5425,10,4,2
5428,10,4,6
5429,10,4,1
5433,6,16,23
5433,10,4,17
5442,10,4,3
5448,10,4,1
5449,6,16,15
5449,10,4,19
5450,10,4,1
5452,10,4,12
5455,6,16,3
5458,10,4,1
5462,10,4,1
5464,10,4,4
5468,6,16,3
5492,6,16,9
5492,10,4,1
5493,6,16,3
5493,10,4,1
5499,10,4,9
5503,6,16,7
5503,10,4,1
5509,10,4,13
5512,10,4,7
5514,10,4,5
5520,10,4,4
5524,6,16,2
5528,10,4,1
5534,10,4,1
5536,10,4,4
5543,6,16,12
5543,10,4,7
5554,10,4,1
5555,6,16,2
5564,10,4,7
5574,6,16,5
5574,10,4,10
5587,6,16,1
5587,10,4,1
5589,6,16,1
5596,6,16,12
5596,10,4,6
5597,6,16,9
5597,10,4,5
5609,6,16,2
5609,10,4,4
5610,6,16,1
5612,10,4,5
5619,6,16,17
5619,10,4,22
5626,10,4,4
5632,10,4,7
5641,6,16,21
5648,6,16,16
5648,10,4,2
5661,10,4,1
5667,6,16,2
5667,10,4,6
5674,6,16,4
5674,10,4,2
5676,6,16,12
5676,10,4,4
5682,10,4,3
5698,6,16,1
5704,10,4,13
5712,6,16,4
5712,10,4,8
5721,6,16,8
5721,10,4,1
5722,10,4,6
5729,6,16,52
5729,10,4,2
5732,10,4,7
5734,6,16,1
5740,6,16,2
5740,10,4,27
5743,10,4,9
5744,10,4,2
5746,6,16,4
5746,10,4,9
5749,10,4,12
5751,6,16,1
5758,10,4,4
5760,10,4,1
5761,6,16,15
5761,10,4,29
5780,10,4,1
5786,6,16,1
5787,6,16,5
5787,10,4,1
5788,6,16,16
5788,10,4,12
5794,10,4,1
5813,10,4,9
5817,6,16,2
5829,10,4,11
5832,10,4,5
5834,10,4,3
5843,10,4,6
5849,10,4,1
5853,6,16,2
5853,10,4,2
5861,10,4,3
5884,6,16,3
5884,10,4,8
5904,10,4,4
5907,10,4,4
5912,6,16,12
5918,6,16,1
5936,6,16,8
5936,10,4,2
5954,6,16,2
5964,6,16,2
6001,10,4,1
6008,10,4,1
6010,10,4,1
6022,6,16,11
6041,6,16,6
6061,10,4,6
6065,10,4,1
6074,10,4,3
6087,10,4,7
6097,10,4,1
6101,10,4,7
6113,6,16,4
6118,10,4,3
6124,6,16,1
6124,10,4,17
6127,6,16,8
6127,10,4,6
6130,10,4,9
6131,6,16,4
6145,6,16,1
6148,6,16,3
6154,10,4,2
6157,10,4,2
6160,10,4,2
6168,10,4,4
6173,6,16,20
6174,10,4,5
6176,6,16,1
6178,10,4,10
6184,10,4,7
6189,10,4,1
6194,6,16,3
6196,6,16,3
6198,6,16,4
6198,10,4,4
6219,6,16,1
6219,10,4,1
6221,10,4,2
6222,6,16,1
6223,10,4,5
6224,10,4,2
6227,6,16,5
6227,10,4,21
6234,10,4,4
6242,6,15,1
6242,6,16,1
6242,10,4,1
6250,6,16,4
6255,6,16,1
6255,10,4,2
6256,10,4,4
6259,10,4,5
6260,6,16,7
6262,10,4,2
6263,10,4,3
6269,6,16,8
6269,10,4,8
6283,6,16,3
6284,10,4,1
6294,10,4,6
6298,6,16,1
6303,10,4,6
6306,10,4,6
6308,6,16,5
6308,10,4,15
6313,6,16,21
6313,10,4,1
6319,10,4,1
6322,6,16,1
6326,10,4,1
6330,6,16,11
6330,10,4,8
6331,10,4,4
6336,6,16,24
6341,10,4,2
6350,10,4,6
6351,6,16,7
6351,10,4,5
6354,10,4,1
6360,6,16,8
6360,10,4,2
6367,6,16,15
6367,10,4,1
6371,10,4,29
6375,6,16,14
6375,10,4,9
6377,6,16,2
6377,10,4,5
6380,6,16,1
6380,10,4,2
6382,10,4,18
6395,6,16,12
6395,10,4,5
6410,6,16,1
6410,10,4,1
6412,10,4,1
6414,6,16,16
6414,10,4,9
6424,6,16,28
6424,10,4,1
6425,6,16,3
6425,10,4,4
6428,6,16,15
6437,6,16,27
6437,10,4,1
6456,6,16,1
6456,10,4,2
6462,6,16,3
6462,10,4,1
6463,10,4,2
6465,10,4,7
6473,6,16,9
6473,10,4,5
6478,10,4,1
6479,6,16,1
6481,6,16,10
6481,10,4,9
6484,6,16,4
6491,10,4,4
6505,6,16,5
6509,6,16,3
6517,6,16,24
6517,10,4,13
6534,6,16,7
6534,10,4,13
6545,6,16,9
6547,6,16,7
6547,10,4,1
6549,10,4,1
6551,6,16,13
6553,6,16,2
6553,10,4,1
6558,6,16,1
6575,10,4,18
6577,6,16,2
6577,10,4,3
6578,6,16,3
6578,10,4,6
6581,10,4,6
6595,6,16,2
6595,10,4,1
6602,6,16,16
6602,10,4,2
6603,10,4,1
6607,10,4,3
6609,6,16,8
6618,10,4,1
6620,6,16,6
6627,10,4,3
6635,10,4,1
6638,6,16,1
6640,6,16,1
6640,10,4,1
6641,6,16,27
6641,10,4,3
6650,10,4,1
6652,10,4,1
6655,6,16,1
6662,6,16,1
6668,6,16,9
6668,10,4,8
6674,10,4,8
6681,6,16,1
6681,10,4,3
6689,6,16,11
6689,10,4,2
6692,6,16,6
6692,10,4,2
6698,6,16,1
6702,10,4,1
6710,6,16,1
6710,10,4,2
6713,6,16,23
6713,10,4,5
6721,6,16,5
6721,10,4,3
6740,6,16,18
6740,10,4,4
6748,10,4,4
6757,6,16,1
6761,10,4,1
6773,6,16,6
6773,10,4,1
6783,6,16,20
6783,10,4,2
6792,6,16,2
6794,6,16,2
6794,10,4,2
6806,6,16,9
6807,6,16,9
6814,10,4,4
6826,10,4,3
6828,6,16,7
6840,6,16,3
6840,10,4,1
6853,6,16,1
6859,6,16,2
6860,6,16,14
6871,10,4,14
6873,10,4,1
6878,10,4,6
6884,6,16,3
