ip,channel,os,ip_channel_os_confRate
746,280,41,0.0
763,21,10,0.0
767,134,13,0.0
767,140,13,0.0
767,145,13,0.0
769,477,9,0.0
770,364,13,0.0
806,107,4,0.0
806,245,49,0.0
806,452,49,0.0
812,115,10,0.0
812,121,10,0.0
812,124,13,0.0
812,150,13,0.0
812,153,10,0.0
812,153,13,0.0
812,386,10,0.0
812,442,10,0.0
812,489,10,0.0
812,497,10,0.0
814,265,6,0.0
814,280,6,0.0
826,107,9,0.0
826,111,9,0.0
826,153,9,0.0
826,219,9,0.0
826,401,9,0.0
826,442,9,0.0
826,477,9,0.0
826,478,9,0.0
832,137,13,0.0
832,245,13,0.0
835,122,13,0.0
835,459,23,0.0
835,469,23,0.0
837,122,11,0.0
853,125,19,0.0
853,145,19,0.0
853,178,19,0.0
853,258,19,0.0
853,259,19,0.0
853,442,19,0.0
860,107,17,0.0
860,134,17,0.0
860,178,17,0.0
860,245,13,0.0
860,265,17,0.0
860,280,17,0.0
860,452,13,0.0
860,459,17,0.0
869,128,15,0.0
869,265,15,0.0
869,280,15,0.0
871,134,19,0.0
871,178,19,0.0
871,215,19,0.0
871,237,19,0.0
871,280,19,0.0
871,459,19,0.0
873,477,37,0.0
879,134,18,0.0
879,140,18,0.0
879,145,18,0.0
892,3,4,0.0
913,19,47,0.0
913,107,19,0.0
913,122,47,0.0
913,153,47,0.0
913,212,47,0.0
913,244,22,0.0
913,265,13,0.0
913,280,13,0.0
913,347,607,0.0
913,379,20,0.0
913,409,47,0.0
913,412,47,0.0
913,435,47,0.0
913,477,47,0.0
913,489,47,0.0
918,125,25,0.0
918,258,25,0.0
925,3,18,0.0
925,137,19,0.0
925,245,19,0.0
944,125,13,0.0
944,135,18,0.0
944,140,13,0.0
944,205,18,0.0
944,259,13,0.0
944,265,13,0.0
944,266,18,0.0
944,280,13,0.0
944,315,18,0.0
944,400,13,0.0
944,401,18,0.0
944,409,18,0.0
944,424,18,0.0
944,435,18,0.0
959,125,9,0.0
959,145,9,0.0
959,145,13,0.0
959,178,9,0.0
959,258,9,0.0
959,259,9,0.0
959,265,13,0.0
959,265,25,0.0
959,280,25,0.0
959,442,9,0.0
973,19,19,0.0
973,153,19,0.0
973,278,19,0.0
973,326,19,0.0
973,379,19,0.0
974,121,19,0.0
974,121,22,0.0
974,137,8,0.0
974,215,8,0.0
974,215,13,0.0
974,245,8,0.0
974,245,19,0.0
974,245,22,0.0
974,379,9,0.0
974,379,13,0.0
974,412,9,0.0
974,435,9,0.0
974,480,9,0.0
988,215,16,0.0
1003,113,9,0.0
1003,115,10,0.0
1003,125,10,0.0
1003,134,9,0.0
1003,134,17,0.0
1003,135,10,0.0
1003,140,17,0.0
1003,145,17,0.0
1003,258,10,0.0
1003,259,10,0.0
1003,349,9,0.0
1003,400,607,0.0
1003,417,10,0.0
1003,430,9,0.0
1003,442,10,0.0
1003,452,9,0.0
1003,466,9,0.0
1003,481,9,0.0
1012,134,13,0.0
1012,265,13,0.0
1012,377,13,0.0
1012,442,13,0.0
1012,480,13,0.0
1016,110,17,0.0
1016,128,17,0.0
1025,134,13,0.0
1025,134,19,0.0
1025,140,13,0.0
1025,140,19,0.0
1025,145,19,0.0
1025,245,19,0.0
1025,259,37,0.0
1025,379,13,0.0
1025,379,17,0.0
1036,134,8,0.0
1036,134,9,0.0
1036,135,19,0.0
1036,140,8,0.0
1036,140,9,0.0
1036,145,8,0.0
1036,145,9,0.0
1036,211,18,0.0
1036,232,19,0.0
1036,243,19,0.0
1036,244,19,0.0
1036,245,18,0.0
1041,115,10,0.0
1041,137,10,0.0
1041,140,19,0.0
1041,153,10,0.0
1041,178,19,0.0
1041,205,10,0.0
1041,215,19,0.0
1041,265,10,0.0
1041,315,10,0.0
1041,409,10,0.0
1041,439,10,0.0
1041,442,10,0.0
1041,469,10,0.0
1041,477,10,0.0
1041,487,10,0.0
1049,111,16,0.0
1049,113,16,0.0
1049,116,16,0.0
1049,122,3,0.0
1049,125,19,0.0
1049,173,16,0.0
1049,205,30,0.0
1049,280,17,0.0
1049,347,607,0.0
1049,439,16,0.0
1067,140,15,0.0
1067,153,15,0.0
1067,400,15,0.0
1067,442,15,0.0
1070,212,18,0.0
1070,328,18,0.0
1074,105,13,0.0
1074,121,13,0.0
1074,128,3,0.0
1074,137,13,0.0
1074,215,13,0.0
1074,245,13,0.0
1074,259,13,0.0
1074,412,13,0.0
1074,435,13,0.0
1074,480,13,0.0
1082,205,22,0.0
1082,205,25,0.0
1082,205,53,0.0
1082,245,13,0.0
1082,245,19,0.0
1082,259,23,0.0
1082,280,19,0.0
1082,280,23,0.0
1082,459,23,0.0
1089,140,13,0.0
1089,215,13,0.0
1089,400,13,0.0
1091,107,98,0.0
1091,125,25,0.0
1091,134,30,0.0
1091,137,9,0.0
1091,140,30,0.0
1091,145,25,0.0
1091,145,30,0.0
1091,178,25,0.0
1091,245,9,0.0
1091,258,25,0.0
1091,259,25,0.0
1091,442,25,0.0
1092,121,18,0.0
1092,153,18,0.0
1092,205,18,0.0
1092,259,10,0.0
1092,265,11,0.0
1092,379,18,0.0
1092,401,18,0.0
1092,424,18,0.0
1092,435,32,0.0
1092,480,32,0.0
1092,489,32,0.0
1108,245,19,0.0
1114,259,25,0.0
1114,280,25,0.0
1117,128,41,0.0
1117,134,13,0.0
1117,140,13,0.0
1117,145,13,0.0
1117,215,41,0.0
1140,19,16,0.0
1140,121,16,0.0
1140,122,16,0.0
1140,153,16,0.0
1140,219,16,0.0
1140,349,16,0.0
1140,409,16,0.0
1140,480,16,0.0
1142,107,19,0.0
1142,211,8,0.0
1142,245,8,0.0
1142,265,40,0.0
1142,280,40,0.0
1176,134,17,0.0
1176,140,17,0.0
1176,145,17,0.0
1176,215,17,0.0
1176,232,10,0.0
1176,243,10,0.0
1176,265,10,0.0
1176,265,13,0.0
1176,280,10,0.0
1176,280,13,0.0
1186,280,13,0.0
1186,459,13,0.0
1206,17,10,0.0
1206,205,10,0.0
1206,265,10,0.0
1206,435,10,0.0
1206,463,10,0.0
1206,477,10,0.0
1235,19,19,0.0
1235,110,34,0.0
1235,121,19,0.0
1235,134,34,0.0
1235,135,19,0.0
1235,153,19,0.0
1235,178,34,0.0
1235,280,34,0.0
1235,477,19,0.0
1237,107,12,0.0
1237,122,19,0.0
1256,115,13,0.0
1256,121,13,0.0
1256,134,13,0.0
1256,134,18,0.0
1256,140,13,0.0
1256,145,13,0.0
1256,153,13,0.0
1256,173,13,0.0
1256,178,18,0.0
1256,215,13,0.0
1256,219,13,0.0
1256,232,13,0.0
1256,265,13,0.0
1256,280,18,0.0
1256,349,13,0.0
1256,439,13,0.0
1261,215,19,0.0
1266,376,28,0.0
1285,19,19,0.0
1285,121,6,0.0
1285,121,17,0.0
1285,121,19,0.0
1285,130,19,0.0
1285,134,19,0.0
1285,135,6,0.0
1285,140,20,0.0
1285,153,19,0.0
1285,178,18,0.0
1285,178,19,0.0
1285,178,20,0.0
1285,205,19,0.0
1285,212,6,0.0
1285,215,18,0.0
1285,215,20,0.0
1285,219,19,0.0
1285,245,17,0.0
1285,280,18,0.0
1285,280,19,0.0
1285,379,19,0.0
1285,386,19,0.0
1285,400,20,0.0
1285,435,19,0.0
1285,442,19,0.0
1285,452,6,0.0
1285,480,19,0.0
1285,489,19,0.0
1289,145,19,0.0
1292,212,20,0.0
1292,328,20,0.0
1313,107,607,0.0
1313,110,13,0.0
1313,134,13,0.0
1313,134,17,0.0
1313,178,13,0.0
1313,212,37,0.0
1313,215,13,0.0
1313,280,13,0.0
1313,328,37,0.0
1319,376,19,0.0
1337,121,23,0.0
1337,134,13,0.0
1337,140,13,0.0
1337,145,13,0.0
1337,245,23,0.0
1337,265,22,0.0
1337,280,22,0.0
1343,128,13,0.0
1343,215,13,0.0
1343,237,41,0.0
1343,245,41,0.0
1343,265,13,0.0
1365,110,25,0.0
1365,115,17,0.0
1365,121,23,0.0
1365,125,17,0.0
1365,130,18,0.0
1365,135,17,0.0
1365,140,19,0.0
1365,153,19,0.0
1365,215,16,0.0
1365,245,18,0.0
1365,245,23,0.0
1365,259,17,0.0
1365,442,17,0.0
1365,442,19,0.0
1365,452,18,0.0
1372,134,37,0.0
1372,140,37,0.0
1372,145,37,0.0
1372,347,607,0.0
1395,215,19,0.0
1413,245,19,0.0
1413,452,19,0.0
1414,128,17,0.0
1415,128,13,0.0
1415,134,13,0.0
1415,140,13,0.0
1415,145,13,0.0
1415,212,19,0.0
1415,215,13,0.0
1415,242,18,0.0
1415,328,19,0.0
1419,135,6,0.0
1433,140,14,0.0
1433,153,14,0.0
1433,215,14,0.0
1433,400,14,0.0
1439,140,19,0.0
1439,153,19,0.0
1439,213,24,0.0
1439,215,19,0.0
1439,259,19,0.0
1439,400,19,0.0
1462,115,31,0.0
1462,125,31,0.0
1462,134,19,0.0
1462,135,31,0.0
1462,178,19,0.0
1462,212,13,0.0
1462,280,19,0.0
1462,328,13,0.0
1462,442,31,0.0
1494,121,26,0.0
1494,134,17,0.0
1494,245,26,0.0
1494,379,17,0.0
1494,430,17,0.0
1494,439,17,0.0
1494,487,17,0.0
1519,19,19,0.0
1519,115,13,0.0
1519,115,25,0.0
1519,125,8,0.0
1519,125,13,0.0
1519,134,13,0.0
1519,134,17,0.0
1519,135,8,0.0
1519,135,13,0.0
1519,137,13,0.0
1519,153,13,0.0
1519,153,19,0.0
1519,153,25,0.0
1519,178,17,0.0
1519,232,13,0.0
1519,259,8,0.0
1519,259,13,0.0
1519,280,17,0.0
1519,319,13,0.0
1519,409,25,0.0
1519,417,8,0.0
1519,430,13,0.0
1519,439,13,0.0
1519,439,19,0.0
1519,442,8,0.0
1519,442,13,0.0
1519,469,13,0.0
1519,477,25,0.0
1519,477,32,0.0
1543,110,13,0.0
1543,134,13,0.0
1543,134,14,0.0
1543,137,607,0.0
1543,153,14,0.0
1543,173,14,0.0
1543,178,13,0.0
1543,245,13,0.0
1543,280,13,0.0
1543,439,14,0.0
1549,140,19,0.0
1549,178,1,0.0
1549,280,1,0.0
1549,400,19,0.0
1549,401,66,0.0
1549,442,19,0.0
1549,459,66,0.0
1549,477,66,0.0
1560,236,8,0.0
1579,137,19,0.0
1579,215,2,0.0
1579,215,19,0.0
1583,115,6,0.0
1583,125,6,0.0
1583,135,6,0.0
1583,258,6,0.0
1583,259,6,0.0
1583,417,6,0.0
1583,442,6,0.0
1584,121,18,0.0
1584,137,18,0.0
1584,153,18,0.0
1584,173,18,0.0
1584,219,18,0.0
1584,232,18,0.0
1584,265,18,0.0
1584,266,18,0.0
1584,401,18,0.0
1584,424,18,0.0
1584,439,18,0.0
1584,469,18,0.0
1584,477,18,0.0
1584,478,18,0.0
1584,480,18,0.0
1584,481,18,0.0
1586,205,13,0.0
1586,245,19,0.0
1586,278,13,0.0
1586,401,13,0.0
1603,107,13,0.0
1603,134,13,0.0
1603,134,19,0.0
1603,140,19,0.0
1603,145,19,0.0
1603,178,13,0.0
1603,215,19,0.0
1603,265,13,0.0
1603,280,13,0.0
1603,459,13,0.0
1626,107,17,0.0
1626,134,17,0.0
1626,178,17,0.0
1626,215,13,0.0
1626,265,17,0.0
1626,459,17,0.0
1634,107,32,0.0
1634,137,17,0.0
1634,215,17,0.0
1655,121,11,0.0
1659,134,13,0.0
1659,211,13,0.0
1659,245,13,0.0
1659,466,13,0.0
1661,212,13,0.0
1661,328,13,0.0
1665,134,19,0.0
1665,135,19,0.0
1665,140,19,0.0
1665,145,19,0.0
1665,232,19,0.0
1665,243,19,0.0
1694,107,25,0.0
1694,110,8,0.0
1694,134,19,0.0
1694,134,25,0.0
1694,140,19,0.0
1694,140,37,0.0
1694,145,19,0.0
1694,178,37,0.0
1694,215,19,0.0
1694,219,25,0.0
1694,278,25,0.0
1694,442,37,0.0
1694,477,25,0.0
1694,480,25,0.0
1697,212,18,0.0
1697,328,18,0.0
1699,111,9,0.0
1699,113,9,0.0
1699,173,9,0.0
1699,219,9,0.0
1699,349,9,0.0
1699,439,9,0.0
1699,469,9,0.0
1702,110,10,0.0
1702,128,10,0.0
1709,128,13,0.0
1709,272,13,0.0
1716,259,19,0.0
1720,245,19,0.0
1720,259,12,0.0
1720,280,12,0.0
1720,452,19,0.0
1721,128,13,0.0
1732,134,13,0.0
1732,140,13,0.0
1732,145,13,0.0
1755,134,17,0.0
1755,140,17,0.0
1755,145,17,0.0
1759,140,18,0.0
1759,400,18,0.0
1759,442,18,0.0
1763,122,18,0.0
1763,234,18,0.0
1763,259,18,0.0
1768,245,18,0.0
1768,245,19,0.0
1769,121,19,0.0
1769,245,19,0.0
1778,259,35,0.0
1778,280,35,0.0
1780,121,19,0.0
1780,130,19,0.0
1780,134,19,0.0
1780,153,19,0.0
1780,173,19,0.0
1780,219,19,0.0
1780,232,19,0.0
1780,315,19,0.0
1780,328,19,0.0
1780,379,19,0.0
1780,424,19,0.0
1780,452,19,0.0
1798,265,19,0.0
1798,280,19,0.0
1801,134,18,0.0
1801,153,18,0.0
1801,173,18,0.0
1801,215,18,0.0
1801,219,18,0.0
1801,280,18,0.0
1801,379,18,0.0
1801,439,18,0.0
1801,466,18,0.0
1801,480,18,0.0
1801,487,18,0.0
1810,215,30,0.0
1810,237,8,0.0
1810,237,19,0.0
1810,237,47,0.0
1810,245,13,0.0
1810,265,9,0.0
1810,280,9,0.0
1810,280,13,0.0
1863,215,16,0.0
1868,409,13,0.0
1871,134,19,0.0
1871,178,19,0.0
1871,280,19,0.0
1881,3,12,0.0
1881,3,20,0.0
1890,19,28,0.0
1890,121,28,0.0
1890,122,13,0.0
1890,134,28,0.0
1890,153,13,0.0
1890,153,17,0.0
1890,178,28,0.0
1890,215,28,0.0
1890,245,31,0.0
1890,266,13,0.0
1890,280,28,0.0
1890,349,28,0.0
1890,377,13,0.0
1890,430,17,0.0
1890,430,28,0.0
1890,439,17,0.0
1890,452,28,0.0
1890,466,17,0.0
1890,487,17,0.0
1892,111,19,0.0
1892,130,19,0.0
1892,134,19,0.0
1892,153,19,0.0
1892,173,19,0.0
1892,319,19,0.0
1892,377,19,0.0
1892,430,19,0.0
1892,439,19,0.0
1909,215,9,0.0
1909,215,19,0.0
1909,400,607,0.0
1919,134,13,0.0
1919,178,13,0.0
1919,280,13,0.0
1923,280,40,0.0
1992,459,9,0.0
2017,128,9,0.0
2027,116,10,0.0
2027,134,10,0.0
2076,3,13,0.0
2076,19,19,0.0
2076,107,22,0.0
2076,107,25,0.0
2076,116,19,0.0
2076,121,19,0.0
2076,122,19,0.0
2076,124,19,0.0
2076,130,19,0.0
2076,134,12,0.0
2076,134,19,0.0
2076,135,19,0.0
2076,145,12,0.0
2076,153,19,0.0
2076,213,0,0.0
2076,245,13,0.0
2076,245,19,0.0
2076,245,22,0.0
2076,265,25,0.0
2076,280,8,0.0
2076,315,19,0.0
2076,349,25,0.0
2076,377,15,0.0
2076,377,19,0.0
2076,379,19,0.0
2076,409,15,0.0
2076,435,25,0.0
2076,439,19,0.0
2076,439,22,0.0
2076,469,19,0.0
2076,477,25,0.0
2076,478,22,0.0
2076,489,25,0.0
2095,3,10,0.0
2095,3,13,0.0
2095,19,16,0.0
2095,107,13,0.0
2095,121,8,0.0
2095,121,16,0.0
2095,121,26,0.0
2095,122,10,0.0
2095,125,34,0.0
2095,128,63,0.0
2095,130,9,0.0
2095,135,3,0.0
2095,135,8,0.0
2095,150,19,0.0
2095,153,11,0.0
2095,153,16,0.0
2095,153,19,0.0
2095,205,8,0.0
2095,212,8,0.0
2095,215,11,0.0
2095,219,16,0.0
2095,243,3,0.0
2095,245,13,0.0
2095,245,19,0.0
2095,259,15,0.0
2095,265,7,0.0
2095,280,19,0.0
2095,349,22,0.0
2095,377,8,0.0
2095,377,19,0.0
2095,379,8,0.0
2095,379,10,0.0
2095,379,16,0.0
2095,386,10,0.0
2095,386,16,0.0
2095,400,11,0.0
2095,400,13,0.0
2095,424,8,0.0
2095,439,9,0.0
2095,442,13,0.0
2095,442,19,0.0
2095,452,19,0.0
2095,459,15,0.0
2095,466,22,0.0
2095,469,22,0.0
2095,477,10,0.0
2095,477,19,0.0
2095,480,19,0.0
2095,481,19,0.0
2095,489,16,0.0
2112,107,607,0.0
2113,115,16,0.0
2113,128,90,0.0
2113,135,16,0.0
2113,259,16,0.0
2113,442,16,0.0
2127,3,10,0.0
2127,121,18,0.0
2127,121,19,0.0
2127,125,10,0.0
2127,145,10,0.0
2127,178,10,0.0
2127,245,18,0.0
2127,245,19,0.0
2127,258,10,0.0
2127,259,10,0.0
2127,347,21,0.0
2127,442,10,0.0
2127,459,18,0.0
2128,215,40,0.0
2153,121,19,0.0
2153,245,19,0.0
2153,377,19,0.0
2153,481,19,0.0
2160,107,19,0.0
2160,134,19,0.0
2160,178,19,0.0
2160,265,19,0.0
2160,280,19,0.0
2160,459,19,0.0
2178,128,13,0.0
2178,130,8,0.0
2178,212,22,0.0
2178,328,22,0.0
2180,3,41,0.0
2180,107,42,0.0
2180,113,19,0.0
2180,128,13,0.0
2180,153,15,0.0
2180,205,19,0.0
2180,215,4,0.0
2180,266,15,0.0
2180,386,8,0.0
2180,424,15,0.0
2186,121,6,0.0
2186,245,6,0.0
2187,128,19,0.0
2189,134,6,0.0
2189,178,6,0.0
2189,280,6,0.0
2207,107,42,0.0
2207,110,19,0.0
2207,125,9,0.0
2207,128,13,0.0
2207,128,19,0.0
2207,173,19,0.0
2207,205,22,0.0
2207,215,13,0.0
2207,219,22,0.0
2207,452,19,0.0
2207,465,607,0.0
2207,480,22,0.0
2208,107,17,0.0
2208,110,13,0.0
2208,128,13,0.0
2208,134,17,0.0
2208,178,17,0.0
2208,215,19,0.0
2208,265,17,0.0
2208,280,17,0.0
2208,459,17,0.0
2210,17,27,0.0
2210,107,27,0.0
2210,121,32,0.0
2210,128,8,0.0
2210,134,19,0.0
2210,135,27,0.0
2210,178,19,0.0
2210,212,46,0.0
2210,280,19,0.0
2210,401,27,0.0
2210,409,27,0.0
2210,481,27,0.0
2211,134,18,0.0
2211,140,18,0.0
2211,145,18,0.0
2211,205,19,0.0
2211,386,19,0.0
2211,435,19,0.0
2211,489,19,0.0
2228,107,13,0.0
2228,121,13,0.0
2228,245,13,0.0
2228,477,37,0.0
2254,128,13,0.0
2254,134,13,0.0
2254,140,13,0.0
2254,145,13,0.0
2254,265,13,0.0
2254,379,13,0.0
2254,435,13,0.0
2284,121,19,0.0
2284,140,37,0.0
2284,245,13,0.0
2284,245,18,0.0
2284,245,19,0.0
2290,125,19,0.0
2290,145,19,0.0
2290,178,19,0.0
2290,258,19,0.0
2290,259,19,0.0
2290,442,19,0.0
2293,125,13,0.0
2293,265,13,0.0
2293,280,13,0.0
2306,107,17,0.0
2306,107,19,0.0
2332,121,13,0.0
2332,137,19,0.0
2332,212,19,0.0
2332,265,25,0.0
2332,280,25,0.0
2332,452,19,0.0
2332,459,19,0.0
2332,469,12,0.0
2332,477,19,0.0
2334,107,19,0.0
2334,124,19,0.0
2334,135,19,0.0
2334,215,13,0.0
2334,265,13,0.0
2334,280,13,0.0
2334,315,19,0.0
2334,347,607,0.0
2334,401,19,0.0
2334,435,19,0.0
2334,477,19,0.0
2334,489,19,0.0
2343,215,13,0.0
2358,21,13,0.0
2359,245,19,0.0
2372,134,26,0.0
2372,178,26,0.0
2372,215,26,0.0
2372,219,26,0.0
2372,379,26,0.0
2372,409,26,0.0
2378,137,10,0.0
2385,459,53,0.0
2399,134,41,0.0
2399,140,41,0.0
2399,145,41,0.0
2404,122,13,0.0
2404,128,10,0.0
2404,134,10,0.0
2404,140,10,0.0
2404,145,10,0.0
2404,215,13,0.0
2404,278,13,0.0
2404,401,13,0.0
2404,480,13,0.0
2407,107,13,0.0
2407,125,19,0.0
2407,128,13,0.0
2407,347,607,0.0
2409,280,10,0.0
2442,125,19,0.0
2442,265,19,0.0
2442,280,19,0.0
2458,128,2,0.0
2463,259,9,0.0
2469,121,25,0.0
2469,125,6,0.0
2469,128,25,0.0
2469,140,25,0.0
2469,245,25,0.0
2469,442,25,0.0
2478,122,10,0.0
2478,265,19,0.0
2478,266,10,0.0
2478,280,19,0.0
2478,442,10,0.0
2478,489,10,0.0
2491,134,8,0.0
2491,140,8,0.0
2491,145,8,0.0
2491,265,8,0.0
2491,280,8,0.0
2494,130,13,0.0
2494,134,13,0.0
2494,325,13,0.0
2494,349,13,0.0
2494,469,13,0.0
2502,477,22,0.0
2511,128,9,0.0
2513,265,30,0.0
2513,379,30,0.0
2513,442,30,0.0
2528,107,13,0.0
2528,122,13,0.0
2528,278,13,0.0
2528,328,13,0.0
2528,377,13,0.0
2528,401,13,0.0
2528,477,13,0.0
2539,259,15,0.0
2539,442,15,0.0
2544,244,17,0.0
2561,212,13,0.0
2561,328,13,0.0
2564,125,9,0.0
2564,128,41,0.0
2564,134,13,0.0
2564,134,19,0.0
2564,145,19,0.0
2564,178,13,0.0
2564,236,41,0.0
2564,265,9,0.0
2564,280,9,0.0
2564,379,8,0.0
2564,477,3,0.0
2564,477,13,0.0
2565,215,19,0.0
2565,325,18,0.0
2565,379,18,0.0
2565,469,18,0.0
2565,477,3,0.0
2565,478,18,0.0
2572,134,28,0.0
2572,153,28,0.0
2572,219,28,0.0
2572,278,28,0.0
2572,317,28,0.0
2572,319,28,0.0
2572,379,28,0.0
2572,409,28,0.0
2572,430,28,0.0
2572,439,28,0.0
2572,477,28,0.0
2572,480,28,0.0
2572,489,28,0.0
2585,245,22,0.0
2589,107,8,0.0
2589,116,26,0.0
2589,137,26,0.0
2589,153,26,0.0
2589,266,26,0.0
2589,319,26,0.0
2589,349,26,0.0
2589,377,26,0.0
2589,430,26,0.0
2589,439,26,0.0
2589,469,26,0.0
2589,481,26,0.0
2589,489,26,0.0
2596,245,10,0.0
2600,107,19,0.0
2600,115,13,0.0
2600,115,19,0.0
2600,121,1,0.0
2600,121,19,0.0
2600,123,19,0.0
2600,134,13,0.0
2600,134,19,0.0
2600,134,35,0.0
2600,135,13,0.0
2600,140,1,0.0
2600,140,19,0.0
2600,145,13,0.0
2600,145,37,0.0
2600,178,19,0.0
2600,215,19,0.0
2600,245,1,0.0
2600,245,13,0.0
2600,245,19,0.0
2600,258,13,0.0
2600,259,13,0.0
2600,259,19,0.0
2600,379,19,0.0
2600,417,19,0.0
2600,442,13,0.0
2600,442,19,0.0
2603,111,11,0.0
2603,115,3,0.0
2603,125,3,0.0
2603,135,3,0.0
2603,215,20,0.0
2603,258,3,0.0
2603,259,3,0.0
2603,417,3,0.0
2603,439,11,0.0
2603,442,3,0.0
2614,237,35,0.0
2615,121,13,0.0
2615,245,13,0.0
2638,134,19,0.0
2638,140,13,0.0
2638,173,19,0.0
2638,442,13,0.0
2643,245,19,0.0
2669,110,22,0.0
2669,128,22,0.0
2671,140,19,0.0
2671,215,22,0.0
2671,442,19,0.0
2684,115,3,0.0
2684,135,3,0.0
2684,477,13,0.0
2698,121,22,0.0
2698,153,22,0.0
2698,205,22,0.0
2698,244,19,0.0
2698,259,22,0.0
2698,379,22,0.0
2698,386,22,0.0
2698,409,22,0.0
2698,435,22,0.0
2698,477,13,0.0
2698,477,18,0.0
2710,121,18,0.0
2710,245,18,0.0
2728,215,41,0.0
2732,215,19,0.0
2735,259,19,0.0
2735,319,25,0.0
2740,212,53,0.0
2740,328,53,0.0
2742,19,19,0.0
2742,153,19,0.0
2742,439,19,0.0
2748,121,16,0.0
2748,245,16,0.0
2748,265,10,0.0
2748,280,10,0.0
2748,315,25,0.0
2748,409,25,0.0
2748,424,25,0.0
2748,489,25,0.0
2759,134,19,0.0
2759,140,19,0.0
2759,145,19,0.0
2759,245,13,0.0
2759,245,53,0.0
2760,3,37,0.0
2770,110,9,0.0
2770,121,1,0.0
2770,122,9,0.0
2770,137,19,0.0
2770,140,2,0.0
2770,173,19,0.0
2770,178,14,0.0
2770,245,1,0.0
2770,259,13,0.0
2770,319,19,0.0
2770,459,9,0.0
2770,469,19,0.0
2773,379,3,0.0
2773,401,3,0.0
2773,435,3,0.0
2773,442,3,0.0
2773,480,3,0.0
2780,121,19,0.0
2780,135,19,0.0
2780,150,19,0.0
2780,242,19,0.0
2780,278,19,0.0
