ip,device,os,ip_device_os_app_4
913,1,13,2
913,1,19,1
913,1,20,1
913,1,22,1
913,1,47,8
913,3032,607,1
918,1,13,4
918,1,25,2
922,1,32,2
925,1,18,1
925,1,19,2
930,1,13,2
933,1,37,5
944,1,1,1
944,1,8,5
944,1,12,5
944,1,13,11
944,1,18,7
944,1,35,2
944,1,47,1
947,1,1,1
947,1,19,6
953,1,19,4
959,1,13,2
959,1,25,2
959,2,9,6
959,2,13,1
959,2,22,1
973,1,17,2
973,1,19,5
973,1,70,1
974,1,13,2
974,1,19,3
974,1,22,3
974,1,41,1
974,2,8,3
974,2,9,4
988,1,16,1
991,1,98,4
993,1,28,1
1000,1,19,7
1003,1,9,7
1003,1,10,5
1003,1,17,4
1003,1,18,1
1003,1,607,1
1012,1,13,6
1016,1,17,2
1025,1,8,1
1025,1,10,3
1025,1,13,3
1025,1,17,1
1025,1,19,7
1025,1,37,1
1025,3,33,1
1026,1,19,4
1030,1,13,1
1036,1,8,4
1036,1,9,4
1036,1,18,2
1036,2,19,3
1040,1,13,1
1041,1,10,9
1041,1,13,1
1041,1,19,3
1044,1,13,1
1044,1,48,3
1049,1,3,1
1049,1,13,1
1049,1,16,6
1049,1,17,1
1049,1,19,2
1049,1,30,1
1049,1,49,1
1049,3032,607,1
1067,1,15,4
1070,1,13,8
1070,1,18,2
1074,1,1,2
1074,1,3,1
1074,1,13,4
1074,1,18,1
1074,1,19,4
1074,2,13,4
1082,1,8,1
1082,1,10,1
1082,1,12,6
1082,1,13,1
1082,1,19,9
1082,1,22,2
1082,1,23,3
1082,1,25,1
1082,1,53,1
1082,2,2,1
1089,1,13,4
1089,1,42,3
1091,1,27,1
1091,1,30,4
1091,1,98,1
1091,2,9,2
1091,2,18,2
1091,2,25,6
1092,1,2,1
1092,1,10,1
1092,1,18,7
1092,1,32,4
1092,2,11,1
1096,1,13,2
1097,1,13,7
1104,1,32,1
1105,1,70,8
1108,1,13,5
1108,1,16,1
1108,1,19,1
1108,1,20,1
1108,2,19,1
1108,2,42,1
1113,1,13,1
1114,1,25,2
1117,1,13,4
1117,1,22,1
1117,1,41,2
1127,1,13,10
1127,1,19,1
1127,5,45,1
1140,1,16,9
1142,1,8,2
1142,1,19,1
1142,1,40,2
1143,2,19,8
1147,1,6,5
1149,1,13,5
1158,1,8,2
1165,1,13,4
1165,1,23,1
1173,1,23,5
1176,1,10,4
1176,1,13,2
1176,1,17,6
1176,1,19,3
1176,1,41,2
1186,1,13,6
1195,1,8,1
1204,1,13,9
1204,1,15,1
1204,1,17,5
1204,1,19,1
1206,1,10,6
1206,1,13,2
1206,1,19,1
1220,1,19,3
1228,1,18,7
1235,1,7,5
1235,1,8,5
1235,1,10,2
1235,1,19,7
1235,1,34,4
1235,1,37,1
1237,1,12,1
1237,1,13,1
1237,1,19,1
1247,1,19,3
1256,1,6,2
1256,1,8,1
1256,1,13,13
1256,1,18,3
1256,1,19,7
1256,2,19,3
1261,1,17,1
1261,1,19,1
1264,1,23,1
1266,1,28,1
1268,1,13,1
1268,1,19,5
1268,1,35,1
1281,1,13,4
1285,1,6,4
1285,1,13,10
1285,1,17,3
1285,1,18,3
1285,1,19,9
1285,1,20,4
1289,1,13,1
1289,1,19,1
1290,1,15,1
1292,1,3,1
1292,1,8,1
1292,1,20,2
1306,1,18,1
1313,1,13,4
1313,1,17,2
1313,1,19,5
1313,1,20,1
1313,1,22,1
1313,1,34,1
1313,1,37,2
1313,3032,607,1
1314,1,13,1
1319,1,19,1
1332,1,10,9
1332,1,19,1
1337,0,33,1
1337,1,6,6
1337,1,13,5
1337,1,19,5
1337,1,22,3
1337,1,23,3
1337,1,43,1
1343,1,12,1
1343,1,13,3
1343,1,19,9
1343,1,41,2
1345,1,13,2
1357,1,22,5
1365,1,1,3
1365,1,16,1
1365,1,17,4
1365,1,18,2
1365,1,19,3
1365,1,23,3
1365,1,25,1
1370,1,12,1
1372,1,13,4
1372,1,37,4
1372,3032,607,1
1376,1,32,1
1376,2,15,1
1388,1,25,4
1393,1,3,1
1393,1,14,1
1393,1,19,1
1394,1,22,1
1394,1,49,12
1395,1,3,4
1395,1,19,3
1395,1,25,1
1413,1,19,2
1414,1,17,1
1415,1,8,4
1415,1,10,3
1415,1,13,7
1415,1,18,1
1415,1,19,5
1415,1,20,1
1415,1,32,3
1419,1,6,1
1421,2,9,3
1433,1,6,1
1433,1,13,4
1433,1,14,4
1433,1,20,1
1439,0,24,1
1439,1,19,5
1456,1,8,1
1456,1,19,2
1458,1,13,1
1458,1,18,2
1458,1,19,3
1462,1,13,2
1462,1,19,4
1462,1,31,3
1468,1,1,1
1471,1,19,1
1477,1,17,1
1479,1,3,1
1486,1,13,1
1486,1,30,1
1486,1,35,1
1493,1,18,6
1494,1,13,4
1494,1,17,5
1494,1,22,1
1494,1,26,3
1494,1,70,1
1519,1,8,4
1519,1,13,10
1519,1,17,3
1519,1,19,4
1519,1,22,3
1519,1,25,5
1519,1,32,1
1519,2,18,1
1523,1,19,1
1524,1,6,7
1524,1,22,7
1532,1,19,1
1543,1,13,5
1543,1,14,6
1543,1,607,1
1547,1,13,8
1549,1,1,2
1549,1,19,3
1549,1,66,3
1556,1,13,4
1556,1,19,7
1560,1,8,1
1560,1,17,4
1579,1,2,1
1579,1,19,2
1583,1,6,5
1584,1,18,12
1584,1,19,1
1586,1,13,3
1586,1,19,1
1600,1,20,4
1601,1,22,6
1603,1,13,6
1603,1,19,4
1611,1,20,6
1616,1,19,11
1626,1,13,1
1626,1,16,1
1626,1,17,4
1626,1,47,3
1632,1,6,1
1632,1,14,3
1634,1,17,2
1634,1,19,1
1634,1,32,1
1638,1,1,9
1638,1,13,6
1638,1,49,1
1655,1,11,1
1659,1,3,2
1659,1,13,4
1659,1,18,1
1659,1,20,4
1659,1,25,1
1661,1,13,5
1665,1,19,6
1665,1,25,1
1669,1,13,6
1669,1,15,1
1669,1,18,5
1673,1,19,4
1673,1,23,4
1673,1,53,14
1675,1,19,1
1678,1,16,6
1693,1,13,1
1694,1,8,1
1694,1,13,2
1694,1,16,1
1694,1,17,3
1694,1,19,4
1694,1,25,7
1694,1,37,3
1697,1,18,2
1699,1,9,7
1700,1,18,4
1700,1,19,3
1702,1,10,2
1706,1,17,1
1709,1,13,2
1712,2,13,1
1713,1,19,4
1716,1,19,1
1720,1,12,2
1720,1,19,2
1720,1,20,2
1721,1,13,1
1722,0,24,1
1732,1,13,4
1755,1,17,4
1759,1,18,3
1759,1,19,5
1762,0,24,1
1762,1,13,2
1763,1,13,10
1763,1,18,2
1766,1,13,1
1768,1,18,1
1768,1,19,1
1769,1,19,5
1769,1,37,1
1769,2,19,3
1771,1,13,1
1778,1,35,2
1780,1,19,10
1785,1,13,3
1785,1,19,1
1790,1,13,1
1798,1,19,2
1800,1,13,3
1801,1,9,1
1801,1,13,7
1801,1,18,8
1810,1,3,2
1810,1,8,1
1810,1,9,2
1810,1,13,2
1810,1,17,2
1810,1,19,2
1810,1,25,2
1810,1,26,1
1810,1,30,1
1810,1,47,1
1813,1,1,1
1821,1,19,1
1821,1,37,7
1825,1,20,2
1826,1,19,1
1831,1,31,10
1839,1,19,1
1863,0,0,1
1863,1,16,1
1868,1,13,1
1871,1,19,3
1881,1,12,1
1881,1,20,1
1890,1,13,4
1890,1,17,5
1890,1,23,10
1890,1,28,7
1890,1,31,1
1890,1,53,1
1892,1,19,7
1900,1,9,2
1909,1,12,2
1909,1,17,1
1909,1,19,1
1909,1,607,1
1909,2,9,1
1919,1,13,3
1919,1,17,5
1921,1,34,7
1923,1,40,1
1964,1,13,5
1990,1,9,4
1992,1,9,2
1994,1,18,2
2017,2,9,1
2018,1,8,1
2022,1,13,6
2022,1,18,1
2022,1,32,1
2027,1,1,3
2027,1,10,2
2027,1,19,1
2052,1,19,1
2076,0,0,1
2076,1,8,1
2076,1,12,4
2076,1,13,1
2076,1,15,3
2076,1,16,12
2076,1,17,2
2076,1,19,14
2076,1,22,3
2076,1,25,6
2076,2,11,2
2076,2,13,2
2076,2,17,1
2086,1,13,1
2087,1,17,1
2087,1,22,7
2095,0,24,1
2095,1,3,2
2095,1,7,1
2095,1,8,6
2095,1,9,2
2095,1,10,10
2095,1,13,5
2095,1,15,3
2095,1,16,7
2095,1,19,11
2095,1,22,3
2095,1,26,1
2095,1,32,1
2095,1,34,1
2095,1,37,1
2095,1,41,1
2095,1,44,1
2095,2,11,3
2095,2,20,2
2095,2,63,1
2105,1,14,4
2105,1,18,1
2112,3032,607,1
2113,1,13,1
2113,1,16,3
2113,2,40,1
2113,2,90,1
2119,1,13,3
2127,0,21,1
2127,1,10,7
2127,1,13,2
2127,1,18,5
2127,1,19,3
2128,1,40,1
2144,1,41,1
2153,1,19,4
2160,1,19,6
2162,1,18,2
2164,1,6,3
2165,1,13,8
2171,1,46,1
2176,1,22,4
2178,1,8,1
2178,1,22,2
2178,2,13,1
2180,1,1,1
2180,1,8,1
2180,1,13,3
2180,1,15,4
2180,1,17,7
2180,1,18,1
2180,1,19,3
2180,1,37,5
2180,1,41,3
2180,1,42,1
2180,2,4,1
2186,1,6,3
2186,1,17,6
2186,1,19,1
2186,2,13,1
2187,1,25,1
2187,2,19,1
2189,1,6,3
2189,1,19,3
2189,1,27,1
2189,1,30,2
2199,1,15,1
2201,1,8,1
2201,1,42,10
2207,1,9,1
2207,1,13,2
2207,1,19,2
2207,1,22,3
2207,1,40,5
2207,1,42,1
2207,1,47,2
2207,2,19,2
2207,3032,607,1
2208,1,13,2
2208,1,17,5
2208,1,19,1
2210,1,19,3
2210,1,27,4
2210,1,32,1
2210,1,46,1
2210,2,8,1
2211,1,18,4
2211,1,19,6
2211,1,26,3
2214,1,31,1
2228,1,6,2
2228,1,13,3
2228,1,37,1
2228,1,41,1
2235,1,19,9
2235,1,20,2
2237,1,19,3
2238,1,17,1
2254,1,11,1
2254,1,13,10
2254,1,19,2
2254,1,33,1
2259,1,19,1
2272,1,11,1
2272,1,15,6
2272,1,19,1
2277,1,13,1
2277,1,47,5
2281,1,19,2
2284,1,13,3
2284,1,18,1
2284,1,19,2
2284,1,37,1
2284,2,47,1
2290,1,2,1
2290,1,18,1
2290,1,19,7
2293,1,13,4
2293,1,19,2
2293,1,41,2
2299,1,10,1
2306,1,12,1
2306,1,13,1
2306,1,17,7
2306,1,19,1
2311,1,6,2
2321,1,13,6
2321,1,16,1
2332,1,12,1
2332,1,13,1
2332,1,19,5
2332,1,22,2
2332,1,25,3
2332,2,17,1
2334,1,11,1
2334,1,13,3
2334,1,19,11
2334,3032,607,1
2336,1,19,1
2343,1,13,1
2348,1,7,2
2348,1,13,12
2348,1,28,1
2348,1,41,1
2357,1,13,7
2357,1,19,1
2358,1,8,1
2358,1,13,1
2358,1,19,1
2359,1,19,1
2372,1,16,2
2372,1,17,2
2372,1,19,2
2372,1,26,5
2378,1,10,1
2382,1,48,1
2385,1,8,1
2385,1,13,3
2385,1,22,1
2385,1,47,3
2385,1,53,1
2388,1,19,3
2391,1,41,1
2399,1,22,1
2399,1,41,3
2400,1,19,1
2404,1,10,5
2404,1,13,7
2407,1,9,1
2407,1,13,6
2407,1,19,1
2407,3032,607,1
2409,1,10,1
2409,1,13,5
2415,1,13,6
2415,1,20,1
2435,1,13,1
2437,1,8,1
2437,1,13,6
2437,1,19,2
2440,1,53,2
2442,1,19,3
2450,1,19,1
2458,1,2,1
2463,1,9,1
2463,1,13,7
2463,1,19,4
2468,1,16,9
2469,1,6,1
2469,1,13,2
2469,1,19,4
2469,1,25,6
2471,1,15,1
2478,1,10,4
2478,1,19,3
2478,2,22,1
2491,1,8,6
2494,1,13,5
2502,1,19,2
2502,1,22,1
2508,1,25,1
2509,1,13,5
2511,1,9,1
2511,1,35,2
2513,1,30,3
2528,1,13,7
2528,1,19,1
2528,1,41,3
2531,1,13,1
2538,1,17,1
2539,1,13,1
2539,1,15,2
2539,1,22,1
2544,1,17,1
2544,1,19,1
2550,1,19,2
2556,1,17,11
2561,1,13,5
2561,1,18,5
2563,1,40,1
2564,1,3,4
2564,1,8,1
2564,1,9,3
2564,1,13,3
2564,1,19,3
2564,1,41,2
2564,1,42,1
2564,1,53,4
2564,2,3,1
2565,1,3,1
2565,1,13,8
2565,1,18,4
2565,1,19,1
2565,1,36,2
2572,1,22,1
2572,1,28,10
2574,1,13,2
2574,1,19,3
2574,1,22,2
2578,1,23,4
2578,1,25,4
2578,2,19,1
2578,2,37,1
2585,1,13,1
2585,1,19,5
2585,1,22,1
2589,1,8,1
2589,1,25,1
2589,1,26,11
2596,1,10,1
2600,1,1,1
2600,1,11,1
2600,1,13,9
2600,1,19,6
2600,1,25,2
2600,1,35,1
2600,1,37,1
2600,2,1,2
2600,2,19,1
2600,2,60,3
2602,2,37,1
2603,1,3,5
2603,1,9,3
2603,1,11,2
2603,1,15,1
2603,1,19,4
2603,1,20,1
2609,1,13,1
2609,1,18,6
2614,1,3,1
2614,1,35,1
2615,1,13,3
2631,1,13,1
2638,1,13,2
2638,1,17,1
2638,1,19,2
2643,1,1,1
2643,1,13,1
2643,1,19,6
2643,1,26,1
2647,1,12,1
2647,1,13,1
2647,1,20,1
2649,1,19,3
2649,1,37,4
2651,1,13,2
2651,1,19,4
2652,1,25,1
2654,1,3,3
2655,1,17,7
2657,1,18,10
2657,1,23,1
2660,1,19,12
2668,1,27,2
2669,1,13,10
2669,1,22,2
2671,1,6,4
2671,1,13,4
2671,1,19,9
2671,1,22,1
2680,1,19,2
2682,1,19,2
2683,1,18,1
2683,1,25,5
2684,1,3,1
2684,1,13,1
2696,1,13,5
2698,1,13,2
2698,1,14,1
2698,1,15,3
2698,1,18,1
2698,1,19,1
2698,1,22,6
2710,1,18,2
2711,1,13,5
2713,1,15,4
2714,1,19,4
2720,1,13,1
2728,1,25,1
2728,1,37,1
2728,1,41,1
2732,1,13,3
2732,1,19,1
2732,1,23,4
2735,1,19,1
2735,1,25,1
2736,0,50,1
2736,1,13,1
2740,1,53,2
2741,1,19,2
2742,1,19,3
2748,1,10,2
2748,1,16,3
2748,1,25,3
2751,1,19,1
2759,1,10,1
2759,1,13,1
2759,1,19,13
2759,1,53,1
2760,1,13,3
2760,1,20,1
2760,1,37,1
2760,2,6,1
2765,1,13,4
2768,1,27,1
2770,1,2,1
2770,1,9,3
2770,1,13,5
2770,1,14,1
2770,1,19,4
2770,2,1,3
2773,1,3,4
2774,1,10,1
2774,1,47,5
2779,1,8,1
2780,1,19,9
2782,1,10,2
2784,1,10,4
2784,1,19,1
2784,1,20,1
2801,1,19,1
2805,1,3,1
2805,1,9,1
2805,1,11,4
2805,1,13,5
2805,1,16,1
2805,1,17,10
2805,1,18,1
2805,1,19,7
2805,1,22,1
2805,1,27,1
2805,1,34,1
2805,1,47,1
2805,2,13,1
2808,1,20,2
2810,1,1,1
2810,1,8,1
2810,1,19,7
2810,1,30,4
2810,1,32,4
2810,1,36,1
2813,1,25,2
2814,1,19,4
2821,1,13,1
2821,1,17,1
2821,1,19,4
2821,1,25,2
2825,1,18,7
2841,1,17,5
2841,1,19,3
2842,1,9,1
2842,1,19,4
2844,1,32,1
2847,1,13,9
2849,1,13,2
2849,1,18,2
2850,1,13,1
2851,1,13,1
2852,1,13,2
2857,1,9,1
2857,1,18,1
2858,1,13,6
2858,1,17,5
2864,1,3,5
2864,1,19,1
2872,0,24,1
2872,1,19,11
2876,1,13,1
2876,1,40,1
2882,1,8,4
2884,1,13,1
2886,1,19,2
2886,1,20,1
2895,1,10,1
2895,1,13,1
2895,1,19,1
2895,2,9,1
2895,2,58,1
2899,1,19,1
2903,1,26,1
2905,1,3,6
2907,1,9,4
2911,1,8,5
2911,1,17,7
2911,1,19,3
2911,1,607,1
2919,1,19,1
2929,1,13,2
2933,1,16,2
2936,1,1,1
2936,1,13,2
2937,1,13,5
2937,1,15,1
2938,1,12,5
2938,1,35,6
2941,1,19,2
2941,1,30,1
2944,1,16,9
2949,1,40,1
2959,1,17,1
2965,1,18,5
2966,1,4,1
2970,1,8,1
2976,1,13,2
2976,1,18,2
2979,1,6,1
2979,1,22,1
2982,1,6,1
2986,3032,607,1
2988,1,17,1
2996,1,9,1
3005,1,13,1
3005,1,17,1
3009,1,6,1
3009,1,13,7
3009,1,25,3
3009,1,31,7
3015,1,19,1
3015,1,25,1
3019,1,19,10
3020,1,13,1
3028,1,13,3
3038,1,11,1
3038,1,16,1
3038,1,19,12
3041,1,12,1
3041,1,17,1
3041,1,23,6
3048,1,19,3
3048,2,18,7
3067,1,37,1
3071,1,8,2
3073,1,4,10
3073,1,30,1
3080,1,13,1
3084,1,2,2
3084,1,19,5
3084,1,22,4
3085,1,3,1
3088,1,19,1
3093,1,19,6
3093,1,23,1
3101,1,16,2
3101,1,17,9
3101,3032,607,1
3102,1,12,4
3102,1,19,10
3103,1,6,1
3103,1,14,1
3103,1,19,1
3103,1,41,4
3113,1,17,1
3131,1,19,3
3133,1,8,4
3133,1,19,3
3133,1,27,3
3136,1,19,1
3136,1,25,1
3139,1,15,2
3162,1,1,5
3163,1,19,1
3165,1,17,4
3167,1,13,1
3176,1,13,2
3178,1,12,3
3178,1,13,1
3178,1,19,3
3178,1,32,1
3179,1,607,1
3179,2,23,1
3183,1,19,1
3183,1,25,1
3183,2,58,1
3192,1,37,4
3196,1,15,2
3196,1,18,3
3196,1,19,2
3197,1,13,1
3197,1,19,4
3197,1,27,8
3197,1,53,1
3201,1,6,1
3205,1,14,1
3210,1,11,2
3210,1,13,8
3210,1,19,11
3214,1,20,2
3218,1,47,1
3219,1,13,8
3219,1,19,9
3219,1,20,2
3219,1,36,1
3239,1,13,6
3247,1,18,1
3253,1,13,2
3262,1,13,5
3262,1,23,1
3268,1,17,1
3271,1,19,2
3279,1,10,1
3279,1,16,1
3279,1,20,2
3279,1,28,3
3279,1,47,6
3288,1,9,1
3288,1,13,11
3288,1,17,1
3288,1,19,7
3294,1,3,1
3294,1,18,3
3294,1,19,2
3294,1,27,1
3294,3032,607,1
3307,1,13,1
3307,1,16,4
3307,1,17,2
3307,1,19,2
3313,1,3,4
3313,1,13,1
3313,1,16,2
3313,1,19,3
3313,1,22,4
3313,1,30,2
3313,1,41,2
3314,1,19,1
3314,1,22,2
3316,1,19,1
3325,1,19,1
3325,1,22,2
3325,1,30,2
3332,1,8,4
3332,1,13,9
3332,1,22,2
3332,1,32,1
3334,1,13,6
3338,1,13,7
3339,1,13,4
3339,1,19,4
3339,1,22,1
3339,1,36,1
3348,1,26,1
3355,1,16,1
3355,1,19,2
3359,1,19,1
3363,1,1,1
3363,1,17,2
3363,1,18,5
3376,1,15,3
3382,1,8,1
3382,1,13,3
3399,1,13,1
3403,1,19,2
3403,1,22,5
3406,1,13,1
3406,1,15,1
3408,1,19,1
3410,1,13,2
3411,1,13,4
3425,1,10,9
3425,1,17,1
3432,1,4,2
3432,1,12,2
3432,1,16,2
3432,1,17,4
3435,1,32,1
3437,1,8,1
3437,1,13,1
3437,1,19,7
3437,1,37,1
3441,1,19,2
3442,1,13,1
3453,2,27,1
3457,1,18,4
3457,1,19,1
3461,1,13,1
3461,1,19,3
3461,1,41,3
3471,1,16,8
3472,0,24,1
3472,1,17,1
3472,1,19,9
3472,1,20,1
3482,1,19,1
3488,1,13,2
3488,1,19,1
3488,1,32,8
3488,3032,607,1
3499,1,3,1
3505,1,19,5
3505,1,70,1
3511,1,18,4
3511,1,19,1
3520,1,10,1
3520,1,13,2
3520,1,16,2
3520,1,19,2
3520,1,25,3
3520,3,33,1
3550,1,13,1
3553,1,9,6
3553,1,19,6
3559,1,8,4
3559,1,10,5
3559,1,19,3
3564,1,17,5
3574,1,20,5
3576,1,8,1
3590,1,16,1
3591,1,12,4
3591,1,19,4
3594,1,9,2
3594,1,10,1
3594,1,13,1
3611,1,13,1
3611,1,17,1
3611,1,22,1
3612,1,13,1
3634,1,13,1
3634,1,19,1
3634,1,31,4
3641,1,19,1
3651,1,13,1
3653,1,13,1
3653,1,18,1
3674,1,13,1
3688,1,19,4
3691,1,13,3
3692,1,3,1
3692,1,40,1
3703,1,19,2
3723,1,15,4
3723,1,19,2
3730,1,13,6
3730,1,23,5
3731,1,9,2
3737,1,9,3
3737,1,20,5
3737,1,23,2
3737,1,30,2
3743,1,9,2
3743,1,23,4
3743,1,41,4
3743,2,13,1
3744,1,8,4
3744,1,26,1
3756,1,18,4
3763,1,17,1
3763,1,18,5
3763,1,53,4
3774,1,13,1
3774,1,17,1
3774,1,19,5
3782,1,13,2
3782,1,19,1
3786,1,66,2
3787,1,19,7
3789,1,13,1
3794,0,24,1
3794,1,15,5
3795,1,18,4
3797,1,19,1
3803,1,53,1
3808,1,13,3
3813,1,25,1
3823,1,18,3
3823,1,19,1
3828,1,22,5
3835,1,12,1
3835,1,20,4
3835,1,41,1
3844,1,19,1
3845,1,13,2
3859,1,19,4
3859,1,25,1
3859,211,29,1
3859,3032,607,1
3860,1,25,2
3862,1,19,1
3875,1,13,1
3875,1,22,9
3875,1,37,1
3882,1,13,1
3882,1,19,5
3889,1,9,2
3889,1,17,1
3889,1,19,2
3903,1,17,1
3904,1,2,1
3904,1,13,1
3907,1,17,2
3907,1,41,1
3947,1,13,1
3958,1,19,1
3964,0,0,1
3964,1,8,3
3964,1,9,2
3964,1,11,1
3964,1,12,6
3964,1,13,13
3964,1,15,2
3964,1,18,7
3964,1,19,11
3964,1,20,1
3964,1,22,6
3964,1,23,2
3964,1,25,1
3964,1,26,1
3964,1,27,1
3964,1,28,3
3964,1,32,4
3964,1,36,1
3964,1,37,1
3964,1,41,5
3964,1,42,1
3964,1,47,4
3964,1,53,1
3964,2,9,1
3964,2,13,1
3964,2,35,1
3964,3032,607,1
3978,1,26,2
3981,1,13,6
3985,231,24,1
3994,0,50,1
3994,1,1,4
3994,1,2,1
3994,1,3,1
3994,1,6,3
3994,1,7,2
3994,1,8,2
3994,1,9,6
3994,1,10,8
3994,1,13,14
3994,1,14,6
3994,1,17,5
3994,1,18,8
3994,1,19,13
3994,1,23,4
3994,1,26,8
3994,1,27,1
3994,1,28,1
3994,1,31,2
3994,1,32,1
3994,1,34,3
3994,1,37,5
3994,1,39,2
3994,1,41,4
3994,1,53,4
3994,1,63,9
3994,2,2,1
3994,2,10,1
3994,2,19,1
3994,2,25,3
3994,3,33,1
4010,1,19,2
4015,1,10,5
4015,1,13,1
4015,1,19,1
4019,0,24,1
4019,0,38,1
4019,1,1,1
4019,1,4,1
4019,1,8,6
4019,1,9,1
4019,1,10,5
4019,1,13,13
4019,1,15,3
4019,1,16,1
4019,1,17,7
4019,1,18,4
4019,1,19,11
4019,1,20,5
4019,1,22,1
4019,1,25,2
4019,1,26,1
4019,1,27,3
4019,1,37,1
4019,1,41,5
4019,2,9,1
4019,2,10,1
4019,2,25,1
4019,2,47,2
4019,2,97,1
4022,1,47,9
4042,1,13,4
4043,1,13,4
4052,0,50,1
4052,1,6,1
4052,1,8,2
4052,1,9,1
4052,1,13,17
4052,1,14,1
4052,1,17,12
4052,1,18,4
4052,1,19,5
4052,1,20,7
4052,1,25,2
4052,1,27,1
4052,1,28,2
4052,1,37,2
4052,1,41,4
4052,1,47,1
4052,2,2,2
4052,2,9,1
4052,2,13,1
4052,2,19,1
4052,2,37,1
4052,2,65,2
4052,3032,607,1
4075,1,48,3
4085,0,24,1
4093,1,16,8
4094,1,10,6
4094,1,18,3
4094,1,19,1
4102,1,13,3
4102,1,16,8
4107,1,17,6
4107,1,18,1
4117,2,9,3
4117,2,19,1
4123,1,37,1
4126,1,10,1
4127,1,13,4
4127,1,15,4
4127,1,19,1
4136,1,19,7
4136,1,41,6
4145,0,24,1
4147,1,6,1
4147,1,10,4
4147,1,19,1
4172,1,9,7
4172,1,19,3
4172,1,53,7
4173,1,28,1
4174,1,10,1
4174,1,12,1
4175,1,13,2
4177,1,1,7
4177,1,19,8
4180,3032,607,1
4193,1,13,1
4202,1,13,1
4203,1,13,5
4214,1,3,3
4220,1,13,8
4220,1,14,1
4220,1,40,1
4241,1,28,8
4248,1,19,1
4253,1,10,2
4259,1,13,6
4259,3032,607,1
