ip,channel,ip_channel_confRate
728,153,0.0
728,265,0.0
728,325,0.0
728,439,0.0
728,452,0.0
738,134,0.0
738,178,0.0
738,280,0.0
745,215,0.0
746,280,0.0
763,21,0.0
767,134,0.0
767,140,0.0
767,145,0.0
769,477,0.0
770,364,0.0
806,107,0.0
806,245,0.0
806,452,0.0
812,115,0.0
812,121,0.0
812,124,0.0
812,150,0.0
812,153,0.0
812,386,0.0
812,442,0.0
812,489,0.0
812,497,0.0
814,265,0.0
814,280,0.0
826,107,0.0
826,111,0.0
826,153,0.0
826,219,0.0
826,401,0.0
826,442,0.0
826,477,0.0
826,478,0.0
832,137,0.0
832,245,0.0
835,122,0.0
835,459,0.0
835,469,0.0
837,122,0.0
853,125,0.0
853,145,0.0
853,178,0.0
853,258,0.0
853,259,0.0
853,442,0.0
860,107,0.0
860,134,0.0
860,178,0.0
860,245,0.0
860,265,0.0
860,280,0.0
860,452,0.0
860,459,0.0
869,128,0.0
869,265,0.0
869,280,0.0
871,134,0.0
871,178,0.0
871,215,0.0
871,237,0.0
871,280,0.0
871,459,0.0
873,477,0.0
879,134,0.0
879,140,0.0
879,145,0.0
892,3,0.0
913,19,0.0
913,107,0.0
913,122,0.0
913,153,0.0
913,212,0.0
913,244,0.0
913,265,0.0
913,280,0.0
913,347,0.0
913,379,0.0
913,409,0.0
913,412,0.0
913,435,0.0
913,477,0.0
913,489,0.0
918,125,0.0
918,258,0.0
925,3,0.0
925,137,0.0
925,245,0.0
944,125,0.0
944,135,0.0
944,140,0.0
944,205,0.0
944,259,0.0
944,265,0.0
944,266,0.0
944,280,0.0
944,315,0.0
944,400,0.0
944,401,0.0
944,409,0.0
944,424,0.0
944,435,0.0
959,125,0.0
959,145,0.0
959,178,0.0
959,258,0.0
959,259,0.0
959,265,0.0
959,280,0.0
959,442,0.0
973,19,0.0
973,153,0.0
973,278,0.0
973,326,0.0
973,379,0.0
974,121,0.0
974,137,0.0
974,215,0.0
974,245,0.0
974,379,0.0
974,412,0.0
974,435,0.0
974,480,0.0
988,215,0.0
1003,113,0.0
1003,115,0.0
1003,125,0.0
1003,134,0.0
1003,135,0.0
1003,140,0.0
1003,145,0.0
1003,258,0.0
1003,259,0.0
1003,349,0.0
1003,400,0.0
1003,417,0.0
1003,430,0.0
1003,442,0.0
1003,452,0.0
1003,466,0.0
1003,481,0.0
1012,134,0.0
1012,265,0.0
1012,377,0.0
1012,442,0.0
1012,480,0.0
1016,110,0.0
1016,128,0.0
1025,134,0.0
1025,140,0.0
1025,145,0.0
1025,245,0.0
1025,259,0.0
1025,379,0.0
1036,134,0.0
1036,135,0.0
1036,140,0.0
1036,145,0.0
1036,211,0.0
1036,232,0.0
1036,243,0.0
1036,244,0.0
1036,245,0.0
1041,115,0.0
1041,137,0.0
1041,140,0.0
1041,153,0.0
1041,178,0.0
1041,205,0.0
1041,215,0.0
1041,265,0.0
1041,315,0.0
1041,409,0.0
1041,439,0.0
1041,442,0.0
1041,469,0.0
1041,477,0.0
1041,487,0.0
1049,111,0.0
1049,113,0.0
1049,116,0.0
1049,122,0.0
1049,125,0.0
1049,173,0.0
1049,205,0.0
1049,280,0.0
1049,347,0.0
1049,439,0.0
1067,140,0.0
1067,153,0.0
1067,400,0.0
1067,442,0.0
1070,212,0.0
1070,328,0.0
1074,105,0.0
1074,121,0.0
1074,128,0.0
1074,137,0.0
1074,215,0.0
1074,245,0.0
1074,259,0.0
1074,412,0.0
1074,435,0.0
1074,480,0.0
1082,205,0.0
1082,245,0.0
1082,259,0.0
1082,280,0.0
1082,459,0.0
1089,140,0.0
1089,215,0.0
1089,400,0.0
1091,107,0.0
1091,125,0.0
1091,134,0.0
1091,137,0.0
1091,140,0.0
1091,145,0.0
1091,178,0.0
1091,245,0.0
1091,258,0.0
1091,259,0.0
1091,442,0.0
1092,121,0.0
1092,153,0.0
1092,205,0.0
1092,259,0.0
1092,265,0.0
1092,379,0.0
1092,401,0.0
1092,424,0.0
1092,435,0.0
1092,480,0.0
1092,489,0.0
1108,245,0.0
1114,259,0.0
1114,280,0.0
1117,128,0.0
1117,134,0.0
1117,140,0.0
1117,145,0.0
1117,215,0.0
1140,19,0.0
1140,121,0.0
1140,122,0.0
1140,153,0.0
1140,219,0.0
1140,349,0.0
1140,409,0.0
1140,480,0.0
1142,107,0.0
1142,211,0.0
1142,245,0.0
1142,265,0.0
1142,280,0.0
1176,134,0.0
1176,140,0.0
1176,145,0.0
1176,215,0.0
1176,232,0.0
1176,243,0.0
1176,265,0.0
1176,280,0.0
1186,280,0.0
1186,459,0.0
1206,17,0.0
1206,205,0.0
1206,265,0.0
1206,435,0.0
1206,463,0.0
1206,477,0.0
1235,19,0.0
1235,110,0.0
1235,121,0.0
1235,134,0.0
1235,135,0.0
1235,153,0.0
1235,178,0.0
1235,280,0.0
1235,477,0.0
1237,107,0.0
1237,122,0.0
1256,115,0.0
1256,121,0.0
1256,134,0.0
1256,140,0.0
1256,145,0.0
1256,153,0.0
1256,173,0.0
1256,178,0.0
1256,215,0.0
1256,219,0.0
1256,232,0.0
1256,265,0.0
1256,280,0.0
1256,349,0.0
1256,439,0.0
1261,215,0.0
1266,376,0.0
1285,19,0.0
1285,121,0.0
1285,130,0.0
1285,134,0.0
1285,135,0.0
1285,140,0.0
1285,153,0.0
1285,178,0.0
1285,205,0.0
1285,212,0.0
1285,215,0.0
1285,219,0.0
1285,245,0.0
1285,280,0.0
1285,379,0.0
1285,386,0.0
1285,400,0.0
1285,435,0.0
1285,442,0.0
1285,452,0.0
1285,480,0.0
1285,489,0.0
1289,145,0.0
1292,212,0.0
1292,328,0.0
1313,107,0.0
1313,110,0.0
1313,134,0.0
1313,178,0.0
1313,212,0.0
1313,215,0.0
1313,280,0.0
1313,328,0.0
1319,376,0.0
1337,121,0.0
1337,134,0.0
1337,140,0.0
1337,145,0.0
1337,245,0.0
1337,265,0.0
1337,280,0.0
1343,128,0.0
1343,215,0.0
1343,237,0.0
1343,245,0.0
1343,265,0.0
1365,110,0.0
1365,115,0.0
1365,121,0.0
1365,125,0.0
1365,130,0.0
1365,135,0.0
1365,140,0.0
1365,153,0.0
1365,215,0.0
1365,245,0.0
1365,259,0.0
1365,442,0.0
1365,452,0.0
1372,134,0.0
1372,140,0.0
1372,145,0.0
1372,347,0.0
1395,215,0.0
1413,245,0.0
1413,452,0.0
1414,128,0.0
1415,128,0.0
1415,134,0.0
1415,140,0.0
1415,145,0.0
1415,212,0.0
1415,215,0.0
1415,242,0.0
1415,328,0.0
1419,135,0.0
1433,140,0.0
1433,153,0.0
1433,215,0.0
1433,400,0.0
1439,140,0.0
1439,153,0.0
1439,213,0.0
1439,215,0.0
1439,259,0.0
1439,400,0.0
1462,115,0.0
1462,125,0.0
1462,134,0.0
1462,135,0.0
1462,178,0.0
1462,212,0.0
1462,280,0.0
1462,328,0.0
1462,442,0.0
1494,121,0.0
1494,134,0.0
1494,245,0.0
1494,379,0.0
1494,430,0.0
1494,439,0.0
1494,487,0.0
1519,19,0.0
1519,115,0.0
1519,125,0.0
1519,134,0.0
1519,135,0.0
1519,137,0.0
1519,153,0.0
1519,178,0.0
1519,232,0.0
1519,259,0.0
1519,280,0.0
1519,319,0.0
1519,409,0.0
1519,417,0.0
1519,430,0.0
1519,439,0.0
1519,442,0.0
1519,469,0.0
1519,477,0.0
1543,110,0.0
1543,134,0.0
1543,137,0.0
1543,153,0.0
1543,173,0.0
1543,178,0.0
1543,245,0.0
1543,280,0.0
1543,439,0.0
1549,140,0.0
1549,178,0.0
1549,280,0.0
1549,400,0.0
1549,401,0.0
1549,442,0.0
1549,459,0.0
1549,477,0.0
1560,236,0.0
1579,137,0.0
1579,215,0.0
1583,115,0.0
1583,125,0.0
1583,135,0.0
1583,258,0.0
1583,259,0.0
1583,417,0.0
1583,442,0.0
1584,121,0.0
1584,137,0.0
1584,153,0.0
1584,173,0.0
1584,219,0.0
1584,232,0.0
1584,265,0.0
1584,266,0.0
1584,401,0.0
1584,424,0.0
1584,439,0.0
1584,469,0.0
1584,477,0.0
1584,478,0.0
1584,480,0.0
1584,481,0.0
1586,205,0.0
1586,245,0.0
1586,278,0.0
1586,401,0.0
1603,107,0.0
1603,134,0.0
1603,140,0.0
1603,145,0.0
1603,178,0.0
1603,215,0.0
1603,265,0.0
1603,280,0.0
1603,459,0.0
1626,107,0.0
1626,134,0.0
1626,178,0.0
1626,215,0.0
1626,265,0.0
1626,459,0.0
1634,107,0.0
1634,137,0.0
1634,215,0.0
1655,121,0.0
1659,134,0.0
1659,211,0.0
1659,245,0.0
1659,466,0.0
1661,212,0.0
1661,328,0.0
1665,134,0.0
1665,135,0.0
1665,140,0.0
1665,145,0.0
1665,232,0.0
1665,243,0.0
1694,107,0.0
1694,110,0.0
1694,134,0.0
1694,140,0.0
1694,145,0.0
1694,178,0.0
1694,215,0.0
1694,219,0.0
1694,278,0.0
1694,442,0.0
1694,477,0.0
1694,480,0.0
1697,212,0.0
1697,328,0.0
1699,111,0.0
1699,113,0.0
1699,173,0.0
1699,219,0.0
1699,349,0.0
1699,439,0.0
1699,469,0.0
1702,110,0.0
1702,128,0.0
1709,128,0.0
1709,272,0.0
1716,259,0.0
1720,245,0.0
1720,259,0.0
1720,280,0.0
1720,452,0.0
1721,128,0.0
1732,134,0.0
1732,140,0.0
1732,145,0.0
1755,134,0.0
1755,140,0.0
1755,145,0.0
1759,140,0.0
1759,400,0.0
1759,442,0.0
1763,122,0.0
1763,234,0.0
1763,259,0.0
1768,245,0.0
1769,121,0.0
1769,245,0.0
1778,259,0.0
1778,280,0.0
1780,121,0.0
1780,130,0.0
1780,134,0.0
1780,153,0.0
1780,173,0.0
1780,219,0.0
1780,232,0.0
1780,315,0.0
1780,328,0.0
1780,379,0.0
1780,424,0.0
1780,452,0.0
1798,265,0.0
1798,280,0.0
1801,134,0.0
1801,153,0.0
1801,173,0.0
1801,215,0.0
1801,219,0.0
1801,280,0.0
1801,379,0.0
1801,439,0.0
1801,466,0.0
1801,480,0.0
1801,487,0.0
1810,215,0.0
1810,237,0.0
1810,245,0.0
1810,265,0.0
1810,280,0.0
1863,215,0.0
1868,409,0.0
1871,134,0.0
1871,178,0.0
1871,280,0.0
1881,3,0.0
1890,19,0.0
1890,121,0.0
1890,122,0.0
1890,134,0.0
1890,153,0.0
1890,178,0.0
1890,215,0.0
1890,245,0.0
1890,266,0.0
1890,280,0.0
1890,349,0.0
1890,377,0.0
1890,430,0.0
1890,439,0.0
1890,452,0.0
1890,466,0.0
1890,487,0.0
1892,111,0.0
1892,130,0.0
1892,134,0.0
1892,153,0.0
1892,173,0.0
1892,319,0.0
1892,377,0.0
1892,430,0.0
1892,439,0.0
1909,215,0.0
1909,400,0.0
1919,134,0.0
1919,178,0.0
1919,280,0.0
1923,280,0.0
1992,459,0.0
2017,128,0.0
2027,116,0.0
2027,134,0.0
2076,3,0.0
2076,19,0.0
2076,107,0.0
2076,116,0.0
2076,121,0.0
2076,122,0.0
2076,124,0.0
2076,130,0.0
2076,134,0.0
2076,135,0.0
2076,145,0.0
2076,153,0.0
2076,213,0.0
2076,245,0.0
2076,265,0.0
2076,280,0.0
2076,315,0.0
2076,349,0.0
2076,377,0.0
2076,379,0.0
2076,409,0.0
2076,435,0.0
2076,439,0.0
2076,469,0.0
2076,477,0.0
2076,478,0.0
2076,489,0.0
2095,3,0.0
2095,19,0.0
2095,107,0.0
2095,121,0.0
2095,122,0.0
2095,125,0.0
2095,128,0.0
2095,130,0.0
2095,135,0.0
2095,150,0.0
2095,153,0.0
2095,205,0.0
2095,212,0.0
2095,215,0.0
2095,219,0.0
2095,243,0.0
2095,245,0.0
2095,259,0.0
2095,265,0.0
2095,280,0.0
2095,349,0.0
2095,377,0.0
2095,379,0.0
2095,386,0.0
2095,400,0.0
2095,424,0.0
2095,439,0.0
2095,442,0.0
2095,452,0.0
2095,459,0.0
2095,466,0.0
2095,469,0.0
2095,477,0.0
2095,480,0.0
2095,481,0.0
2095,489,0.0
2112,107,0.0
2113,115,0.0
2113,128,0.0
2113,135,0.0
2113,259,0.0
2113,442,0.0
2127,3,0.0
2127,121,0.0
2127,125,0.0
2127,145,0.0
2127,178,0.0
2127,245,0.0
2127,258,0.0
2127,259,0.0
2127,347,0.0
2127,442,0.0
2127,459,0.0
2128,215,0.0
2153,121,0.0
2153,245,0.0
2153,377,0.0
2153,481,0.0
2160,107,0.0
2160,134,0.0
2160,178,0.0
2160,265,0.0
2160,280,0.0
2160,459,0.0
2178,128,0.0
2178,130,0.0
2178,212,0.0
2178,328,0.0
2180,3,0.0
2180,107,0.0
2180,113,0.0
2180,128,0.0
2180,153,0.0
2180,205,0.0
2180,215,0.0
2180,266,0.0
2180,386,0.0
2180,424,0.0
2186,121,0.0
2186,245,0.0
2187,128,0.0
2189,134,0.0
2189,178,0.0
2189,280,0.0
2207,107,0.0
2207,110,0.0
2207,125,0.0
2207,128,0.0
2207,173,0.0
2207,205,0.0
2207,215,0.0
2207,219,0.0
2207,452,0.0
2207,465,0.0
2207,480,0.0
2208,107,0.0
2208,110,0.0
2208,128,0.0
2208,134,0.0
2208,178,0.0
2208,215,0.0
2208,265,0.0
2208,280,0.0
2208,459,0.0
2210,17,0.0
2210,107,0.0
2210,121,0.0
2210,128,0.0
2210,134,0.0
2210,135,0.0
2210,178,0.0
2210,212,0.0
2210,280,0.0
2210,401,0.0
2210,409,0.0
2210,481,0.0
2211,134,0.0
2211,140,0.0
2211,145,0.0
2211,205,0.0
2211,386,0.0
2211,435,0.0
2211,489,0.0
2228,107,0.0
2228,121,0.0
2228,245,0.0
2228,477,0.0
2254,128,0.0
2254,134,0.0
2254,140,0.0
2254,145,0.0
2254,265,0.0
2254,379,0.0
2254,435,0.0
2284,121,0.0
2284,140,0.0
2284,245,0.0
2290,125,0.0
2290,145,0.0
2290,178,0.0
2290,258,0.0
2290,259,0.0
2290,442,0.0
2293,125,0.0
2293,265,0.0
2293,280,0.0
2306,107,0.0
2332,121,0.0
2332,137,0.0
2332,212,0.0
2332,265,0.0
2332,280,0.0
2332,452,0.0
2332,459,0.0
2332,469,0.0
2332,477,0.0
2334,107,0.0
2334,124,0.0
2334,135,0.0
2334,215,0.0
2334,265,0.0
2334,280,0.0
2334,315,0.0
2334,347,0.0
2334,401,0.0
2334,435,0.0
2334,477,0.0
2334,489,0.0
2343,215,0.0
2358,21,0.0
2359,245,0.0
2372,134,0.0
2372,178,0.0
2372,215,0.0
2372,219,0.0
2372,379,0.0
2372,409,0.0
2378,137,0.0
2385,459,0.0
2399,134,0.0
2399,140,0.0
2399,145,0.0
2404,122,0.0
2404,128,0.0
2404,134,0.0
2404,140,0.0
2404,145,0.0
2404,215,0.0
2404,278,0.0
2404,401,0.0
2404,480,0.0
2407,107,0.0
2407,125,0.0
2407,128,0.0
2407,347,0.0
2409,280,0.0
2442,125,0.0
2442,265,0.0
2442,280,0.0
2458,128,0.0
2463,259,0.0
2469,121,0.0
2469,125,0.0
2469,128,0.0
2469,140,0.0
2469,245,0.0
2469,442,0.0
2478,122,0.0
2478,265,0.0
2478,266,0.0
2478,280,0.0
2478,442,0.0
2478,489,0.0
2491,134,0.0
2491,140,0.0
2491,145,0.0
2491,265,0.0
2491,280,0.0
2494,130,0.0
2494,134,0.0
2494,325,0.0
2494,349,0.0
2494,469,0.0
2502,477,0.0
2511,128,0.0
2513,265,0.0
2513,379,0.0
2513,442,0.0
2528,107,0.0
2528,122,0.0
2528,278,0.0
2528,328,0.0
2528,377,0.0
2528,401,0.0
2528,477,0.0
2539,259,0.0
2539,442,0.0
2544,244,0.0
2561,212,0.0
2561,328,0.0
2564,125,0.0
2564,128,0.0
2564,134,0.0
2564,145,0.0
2564,178,0.0
2564,236,0.0
2564,265,0.0
2564,280,0.0
2564,379,0.0
2564,477,0.0
2565,215,0.0
2565,325,0.0
2565,379,0.0
2565,469,0.0
2565,477,0.0
2565,478,0.0
2572,134,0.0
2572,153,0.0
2572,219,0.0
2572,278,0.0
2572,317,0.0
2572,319,0.0
2572,379,0.0
2572,409,0.0
2572,430,0.0
2572,439,0.0
2572,477,0.0
2572,480,0.0
2572,489,0.0
2585,245,0.0
2589,107,0.0
2589,116,0.0
2589,137,0.0
2589,153,0.0
2589,266,0.0
2589,319,0.0
2589,349,0.0
2589,377,0.0
2589,430,0.0
2589,439,0.0
2589,469,0.0
2589,481,0.0
2589,489,0.0
2596,245,0.0
2600,107,0.0
2600,115,0.0
2600,121,0.0
2600,123,0.0
2600,134,0.0
2600,135,0.0
2600,140,0.0
2600,145,0.0
2600,178,0.0
2600,215,0.0
2600,245,0.0
2600,258,0.0
2600,259,0.0
2600,379,0.0
2600,417,0.0
2600,442,0.0
2603,111,0.0
2603,115,0.0
2603,125,0.0
2603,135,0.0
2603,215,0.0
2603,258,0.0
2603,259,0.0
2603,417,0.0
2603,439,0.0
2603,442,0.0
2614,237,0.0
2615,121,0.0
2615,245,0.0
2638,134,0.0
2638,140,0.0
2638,173,0.0
2638,442,0.0
2643,245,0.0
2669,110,0.0
2669,128,0.0
2671,140,0.0
2671,215,0.0
2671,442,0.0
2684,115,0.0
2684,135,0.0
2684,477,0.0
2698,121,0.0
2698,153,0.0
2698,205,0.0
2698,244,0.0
2698,259,0.0
2698,379,0.0
2698,386,0.0
2698,409,0.0
2698,435,0.0
2698,477,0.0
2710,121,0.0
2710,245,0.0
2728,215,0.0
2732,215,0.0
2735,259,0.0
2735,319,0.0
2740,212,0.0
2740,328,0.0
2742,19,0.0
2742,153,0.0
2742,439,0.0
2748,121,0.0
2748,245,0.0
2748,265,0.0
2748,280,0.0
2748,315,0.0
2748,409,0.0
2748,424,0.0
2748,489,0.0
2759,134,0.0
2759,140,0.0
2759,145,0.0
2759,245,0.0
2760,3,0.0
2770,110,0.0
2770,121,0.0
2770,122,0.0
2770,137,0.0
2770,140,0.0
2770,173,0.0
2770,178,0.0
2770,245,0.0
2770,259,0.0
2770,319,0.0
2770,459,0.0
2770,469,0.0
2773,379,0.0
2773,401,0.0
2773,435,0.0
2773,442,0.0
2773,480,0.0
2780,121,0.0
2780,135,0.0
2780,150,0.0
2780,242,0.0
2780,278,0.0
2780,424,0.0
2780,477,0.0
2780,480,0.0
2780,489,0.0
2784,134,0.0
2784,140,0.0
2784,145,0.0
2784,376,0.0
2801,259,0.0
2801,265,0.0
2805,107,0.0
2805,115,0.0
2805,121,0.0
2805,122,0.0
2805,125,0.0
2805,130,0.0
2805,134,0.0
2805,135,0.0
2805,137,0.0
2805,140,0.0
2805,145,0.0
2805,153,0.0
2805,178,0.0
2805,215,0.0
2805,219,0.0
2805,232,0.0
2805,245,0.0
2805,259,0.0
2805,265,0.0
2805,280,0.0
2805,319,0.0
2805,349,0.0
2805,379,0.0
2805,430,0.0
2805,439,0.0
2805,442,0.0
2805,452,0.0
2805,469,0.0
2805,477,0.0
2805,478,0.0
2808,137,0.0
2808,245,0.0
2810,134,0.0
2810,140,0.0
2810,145,0.0
2810,245,0.0
2810,328,0.0
2821,107,0.0
2821,110,0.0
2821,128,0.0
2821,134,0.0
2821,265,0.0
2821,459,0.0
2842,3,0.0
2844,245,0.0
2849,212,0.0
2849,328,0.0
2849,459,0.0
2858,125,0.0
2858,145,0.0
2858,178,0.0
2858,258,0.0
2858,259,0.0
2858,442,0.0
2864,173,0.0
2864,315,0.0
2864,349,0.0
2864,469,0.0
2864,487,0.0
2876,245,0.0
2895,123,0.0
2895,244,0.0
2911,400,0.0
2919,153,0.0
2933,178,0.0
2933,237,0.0
2938,107,0.0
2938,134,0.0
2938,140,0.0
2938,145,0.0
2938,178,0.0
2938,232,0.0
2938,243,0.0
2938,265,0.0
2938,280,0.0
2938,459,0.0
2941,121,0.0
2941,134,0.0
2941,140,0.0
2959,215,0.0
2965,115,0.0
2965,125,0.0
2965,135,0.0
2965,258,0.0
2965,259,0.0
2965,417,0.0
2965,442,0.0
2976,137,0.0
2976,245,0.0
2979,122,0.0
2979,376,0.0
2986,107,0.0
2988,236,0.0
2996,477,0.0
3005,121,0.0
3005,376,0.0
3005,477,0.0
3009,212,0.0
3038,115,0.0
3038,121,0.0
3038,134,0.0
3038,153,0.0
3038,173,0.0
3038,219,0.0
3038,315,0.0
3038,349,0.0
3038,401,0.0
3038,424,0.0
3038,481,0.0
3038,497,0.0
3048,234,0.0
3048,245,0.0
3048,259,0.0
3084,140,0.0
3084,153,0.0
3084,258,0.0
3084,259,0.0
3084,400,0.0
3084,442,0.0
3093,125,0.0
3093,145,0.0
3093,178,0.0
3093,258,0.0
3093,259,0.0
3093,442,0.0
3101,469,0.0
3102,140,0.0
3102,178,0.0
3102,215,0.0
3103,116,0.0
3103,134,0.0
3103,215,0.0
3103,315,0.0
3103,319,0.0
3131,121,0.0
3131,245,0.0
3133,121,0.0
3133,173,0.0
3133,245,0.0
3133,265,0.0
3133,315,0.0
3133,349,0.0
3133,379,0.0
3133,459,0.0
3163,205,0.0
3167,245,0.0
3178,215,0.0
3179,122,0.0
3179,400,0.0
3183,237,0.0
3196,121,0.0
3196,245,0.0
3196,259,0.0
3196,280,0.0
3197,245,0.0
3210,121,0.0
3210,125,0.0
3210,140,0.0
3210,153,0.0
3210,215,0.0
3210,232,0.0
3210,243,0.0
3210,245,0.0
3210,265,0.0
3210,280,0.0
3210,400,0.0
3210,442,0.0
3218,237,0.0
3219,115,0.0
3219,125,0.0
3219,128,0.0
3219,134,0.0
3219,135,0.0
3219,140,0.0
3219,145,0.0
3219,178,0.0
3219,259,0.0
3219,265,0.0
3219,280,0.0
3219,442,0.0
3239,219,0.0
3239,278,0.0
3239,442,0.0
3239,481,0.0
3253,265,0.0
3253,280,0.0
3262,107,0.0
3262,135,0.0
3279,134,0.0
3279,173,0.0
3279,244,0.0
3279,469,0.0
3288,140,0.0
3288,153,0.0
3288,178,0.0
3288,215,0.0
3288,237,0.0
3288,442,0.0
3294,107,0.0
3294,265,0.0
3294,280,0.0
3307,134,0.0
3307,140,0.0
3307,145,0.0
3313,19,0.0
3313,135,0.0
3313,212,0.0
3313,328,0.0
3313,439,0.0
3313,477,0.0
3332,140,0.0
3332,178,0.0
3332,215,0.0
3332,245,0.0
3332,259,0.0
3339,122,0.0
3339,137,0.0
3339,245,0.0
3339,280,0.0
3339,442,0.0
3339,477,0.0
3339,480,0.0
3355,178,0.0
3355,280,0.0
3363,140,0.0
3363,215,0.0
3376,134,0.0
3376,178,0.0
3376,280,0.0
3382,134,0.0
3382,178,0.0
3382,280,0.0
3403,477,0.0
3406,107,0.0
3410,265,0.0
3410,467,0.0
3425,379,0.0
3432,212,0.0
3432,328,0.0
3437,134,0.0
3437,140,0.0
3437,145,0.0
3437,215,0.0
3437,459,0.0
3442,274,0.0
3461,211,0.0
3461,245,0.0
3471,17,0.0
3471,121,0.0
3471,135,0.0
3471,153,0.0
3471,219,0.0
3471,424,0.0
3471,439,0.0
3471,497,0.0
3472,19,0.0
3472,107,0.0
3472,121,0.0
3472,125,0.0
3472,128,0.0
3472,135,0.0
3472,242,0.0
3472,315,0.0
3472,349,0.0
3472,435,0.0
3472,442,0.0
3472,480,0.0
3488,107,0.0
3505,115,0.0
3505,125,0.0
3505,135,0.0
3505,258,0.0
3505,259,0.0
3505,417,0.0
3505,442,0.0
3520,140,0.0
3520,178,0.0
3520,215,0.0
3520,265,0.0
3520,280,0.0
3520,400,0.0
3553,137,0.0
3553,173,0.0
3553,265,0.0
3553,349,0.0
3553,439,0.0
3553,469,0.0
3559,121,0.0
3559,125,0.0
3559,134,0.0
3559,137,0.0
3559,140,0.0
3559,145,0.0
3559,203,0.0
3559,245,0.0
3559,317,0.0
3559,460,0.0
3564,128,0.0
3564,134,0.0
3564,140,0.0
3564,145,0.0
3576,128,0.0
3594,215,0.0
3594,245,0.0
3594,452,0.0
3611,107,0.0
3611,237,0.0
3634,134,0.0
3634,140,0.0
3634,145,0.0
3634,215,0.0
3653,379,0.0
3688,140,0.0
3688,153,0.0
3688,442,0.0
3730,125,0.0
3730,145,0.0
3730,178,0.0
3730,258,0.0
3730,259,0.0
3730,442,0.0
3737,115,0.0
3737,125,0.0
3737,135,0.0
3737,259,0.0
3737,265,0.0
3737,280,0.0
3737,417,0.0
3737,442,0.0
3743,215,0.0
3743,386,0.0
3743,480,0.0
3744,110,0.0
3744,134,0.0
3744,140,0.0
3744,145,0.0
3756,134,0.0
3756,140,0.0
3756,145,0.0
3763,128,0.0
3782,130,0.0
3794,107,0.0
3794,134,0.0
3794,178,0.0
3794,265,0.0
3794,280,0.0
3794,376,0.0
3794,459,0.0
3808,121,0.0
3808,245,0.0
3835,134,0.0
3835,140,0.0
3835,145,0.0
3844,477,0.0
3845,245,0.0
3845,452,0.0
3859,107,0.0
3859,213,0.0
3860,245,0.0
3860,452,0.0
3875,237,0.0
3882,128,0.0
3882,134,0.0
3882,140,0.0
3882,145,0.0
3882,265,0.0
3889,459,0.0
3903,376,0.0
3904,128,0.0
3907,128,0.0
3907,245,0.0
3907,452,0.0
3964,19,0.0
3964,101,0.0
3964,107,0.0
3964,116,0.0
3964,121,0.0
