ip,device,os,ip_device_os_app_4
1586,1,19,1
1603,1,13,6
1603,1,19,4
1626,1,13,1
1626,1,17,4
1634,1,17,2
1634,1,32,1
1655,1,11,1
1659,1,13,4
1661,1,13,2
1665,1,19,6
1694,1,8,1
1694,1,19,4
1694,1,25,7
1694,1,37,3
1697,1,18,2
1699,1,9,7
1702,1,10,2
1709,1,13,2
1716,1,19,1
1720,1,12,2
1720,1,19,2
1721,1,13,1
1732,1,13,4
1755,1,17,4
1759,1,18,3
1763,1,18,2
1768,1,18,1
1768,1,19,1
1769,2,19,3
1778,1,35,2
1780,1,19,10
1798,1,19,2
1801,1,18,8
1810,1,8,1
1810,1,9,2
1810,1,13,2
1810,1,19,1
1810,1,30,1
1810,1,47,1
1863,1,16,1
1868,1,13,1
1871,1,19,3
1881,1,12,1
1881,1,20,1
1890,1,13,4
1890,1,17,5
1890,1,28,7
1890,1,31,1
1892,1,19,7
1909,1,19,1
1909,1,607,1
1909,2,9,1
1919,1,13,3
1923,1,40,1
1992,1,9,2
2017,2,9,1
2027,1,10,2
2076,0,0,1
2076,1,8,1
2076,1,12,3
2076,1,13,1
2076,1,15,2
2076,1,19,14
2076,1,22,3
2076,1,25,6
2095,1,3,2
2095,1,7,1
2095,1,8,6
2095,1,9,2
2095,1,10,4
2095,1,13,5
2095,1,15,2
2095,1,16,7
2095,1,19,9
2095,1,22,3
2095,1,26,1
2095,1,34,1
2095,2,11,3
2095,2,63,1
2112,3032,607,1
2113,1,16,3
2113,2,90,1
2127,0,21,1
2127,1,10,7
2127,1,18,5
2127,1,19,3
2128,1,40,1
2153,1,19,4
2160,1,19,6
2178,1,8,1
2178,1,22,2
2178,2,13,1
2180,1,8,1
2180,1,13,1
2180,1,15,4
2180,1,19,2
2180,1,41,1
2180,1,42,1
2180,2,4,1
2186,1,6,3
2187,2,19,1
2189,1,6,3
2207,1,9,1
2207,1,13,2
2207,1,19,2
2207,1,22,3
2207,1,42,1
2207,2,19,2
2207,3032,607,1
2208,1,13,2
2208,1,17,5
2208,1,19,1
2210,1,19,3
2210,1,27,4
2210,1,32,1
2210,1,46,1
2210,2,8,1
2211,1,18,4
2211,1,19,4
2228,1,13,3
2228,1,37,1
2254,1,13,7
2284,1,13,2
2284,1,18,1
2284,1,19,2
2284,1,37,1
2290,1,19,6
2293,1,13,3
2306,1,17,1
2306,1,19,1
2332,1,12,1
2332,1,13,1
2332,1,19,4
2332,1,25,2
2334,1,13,3
2334,1,19,8
2334,3032,607,1
2343,1,13,1
2358,1,13,1
2359,1,19,1
2372,1,26,5
2378,1,10,1
2385,1,53,1
2399,1,41,3
2404,1,10,5
2404,1,13,5
2407,1,13,2
2407,1,19,1
2407,3032,607,1
2409,1,10,1
2442,1,19,3
2458,1,2,1
2463,1,9,1
2469,1,6,1
2469,1,25,6
2478,1,10,4
2478,1,19,2
2491,1,8,6
2494,1,13,5
2502,1,22,1
2511,1,9,1
2513,1,30,3
2528,1,13,7
2539,1,15,2
2544,1,17,1
2561,1,13,2
2564,1,8,1
2564,1,9,3
2564,1,13,3
2564,1,19,3
2564,1,41,2
2564,2,3,1
2565,1,3,1
2565,1,18,4
2565,1,19,1
2572,1,28,10
2585,1,22,1
2589,1,8,1
2589,1,26,11
2596,1,10,1
2600,1,1,1
2600,1,13,8
2600,1,19,6
2600,1,35,1
2600,1,37,1
2600,2,1,2
2600,2,19,1
2603,1,3,5
2603,1,11,2
2603,1,20,1
2614,1,35,1
2615,1,13,3
2638,1,13,2
2638,1,19,2
2643,1,19,1
2669,1,22,2
2671,1,19,2
2671,1,22,1
2684,1,3,1
2684,1,13,1
2698,1,13,1
2698,1,18,1
2698,1,19,1
2698,1,22,6
2710,1,18,2
2728,1,41,1
2732,1,19,1
2735,1,19,1
2735,1,25,1
2740,1,53,2
2742,1,19,3
2748,1,10,2
2748,1,16,3
2748,1,25,3
2759,1,13,1
2759,1,19,4
2759,1,53,1
2760,1,37,1
2770,1,2,1
2770,1,9,3
2770,1,13,1
2770,1,14,1
2770,1,19,3
2770,2,1,3
2773,1,3,4
2780,1,19,9
2784,1,10,4
2784,1,19,1
2801,1,19,1
2805,1,11,4
2805,1,13,3
2805,1,16,1
2805,1,17,10
2805,1,18,1
2805,1,19,7
2805,1,22,1
2805,1,27,1
2805,1,34,1
2805,1,47,1
2808,1,20,2
2810,1,8,1
2810,1,30,4
2810,1,32,4
2810,1,36,1
2821,1,17,1
2821,1,19,4
2821,1,25,2
2842,1,9,1
2844,1,32,1
2849,1,13,2
2849,1,18,2
2858,1,13,6
2864,1,3,5
2876,1,40,1
2895,1,10,1
2895,2,58,1
2911,1,607,1
2919,1,19,1
2933,1,16,2
2938,1,12,5
2938,1,35,6
2941,1,19,2
2941,1,30,1
2959,1,17,1
2965,1,18,5
2976,1,18,2
2979,1,6,1
2979,1,22,1
2986,3032,607,1
2988,1,17,1
2996,1,9,1
3005,1,13,1
3005,1,17,1
3009,1,6,1
3038,1,19,10
3048,1,19,3
3084,1,19,5
3093,1,19,6
3093,1,23,1
3101,3032,607,1
3102,1,19,3
3103,1,14,1
3103,1,41,4
3131,1,19,3
3133,1,8,4
3133,1,19,3
3133,1,27,3
3163,1,19,1
3167,1,13,1
3178,1,32,1
3179,1,607,1
3179,2,23,1
3183,2,58,1
3196,1,18,3
3196,1,19,2
3197,1,53,1
3210,1,11,2
3210,1,13,5
3210,1,19,5
3218,1,47,1
3219,1,13,8
3219,1,19,3
3219,1,36,1
3239,1,13,5
3253,1,13,2
3262,1,13,1
3262,1,23,1
3279,1,16,1
3279,1,20,1
3279,1,28,3
3288,1,13,4
3288,1,17,1
3294,1,19,2
3294,3032,607,1
3307,1,16,4
3313,1,3,4
3313,1,41,2
3332,1,8,4
3332,1,32,1
3339,1,13,2
3339,1,19,4
3355,1,19,2
3363,1,17,2
3376,1,15,3
3382,1,13,3
3403,1,22,1
3406,1,15,1
3410,1,13,2
3425,1,17,1
3432,1,4,2
3437,1,13,1
3437,1,19,4
3442,1,13,1
3461,1,19,2
3471,1,16,8
3472,1,17,1
3472,1,19,9
3472,1,20,1
3488,3032,607,1
3505,1,19,5
3520,1,13,2
3520,1,16,2
3520,1,25,3
3553,1,9,6
3559,1,8,4
3559,1,10,5
3559,1,19,3
3564,1,17,5
3576,1,8,1
3594,1,9,2
3594,1,13,1
3611,1,13,1
3611,1,17,1
3611,1,22,1
3634,1,13,1
3634,1,31,4
3653,1,18,1
3688,1,19,4
3730,1,13,6
3737,1,20,5
3743,1,9,2
3743,1,41,1
3744,1,8,4
3744,1,26,1
3756,1,18,4
3763,1,17,1
3782,1,13,1
3794,1,15,5
3808,1,13,3
3835,1,20,4
3844,1,19,1
3845,1,13,2
3859,211,29,1
3859,3032,607,1
3860,1,25,2
3875,1,37,1
3882,1,13,1
3882,1,19,5
3889,1,19,2
3903,1,17,1
3904,1,2,1
3907,1,17,2
3907,1,41,1
3964,1,8,3
3964,1,9,1
3964,1,11,1
3964,1,12,6
3964,1,13,7
3964,1,15,1
3964,1,18,7
3964,1,19,11
3964,1,20,1
3964,1,22,1
3964,1,23,2
3964,1,26,1
3964,1,27,1
3964,1,28,2
3964,1,32,4
3964,1,37,1
3964,1,41,5
3964,1,42,1
3964,1,47,4
3964,2,9,1
3964,2,13,1
3964,3032,607,1
3981,1,13,6
3994,1,1,1
3994,1,2,1
3994,1,6,3
3994,1,8,1
3994,1,9,6
3994,1,10,7
3994,1,13,4
3994,1,17,5
3994,1,18,8
3994,1,19,12
3994,1,23,4
3994,1,26,8
3994,1,27,1
3994,1,31,2
3994,1,32,1
3994,1,34,3
3994,1,37,5
3994,1,39,2
3994,1,41,4
3994,1,53,4
3994,2,10,1
3994,2,19,1
3994,2,25,2
4015,1,13,1
4019,1,8,1
4019,1,9,1
4019,1,10,5
4019,1,13,12
4019,1,15,3
4019,1,17,5
4019,1,18,3
4019,1,19,8
4019,1,20,1
4019,1,22,1
4019,1,25,2
4019,1,26,1
4019,1,27,3
4019,1,41,5
4019,2,10,1
4019,2,47,2
4052,1,6,1
4052,1,8,2
4052,1,9,1
4052,1,13,16
4052,1,14,1
4052,1,17,5
4052,1,19,4
4052,1,20,6
4052,1,25,2
4052,1,28,2
4052,1,41,3
4052,1,47,1
4052,2,9,1
4052,2,13,1
4052,2,19,1
4052,2,37,1
4052,2,65,2
4052,3032,607,1
4075,1,48,3
4093,1,16,8
4094,1,10,6
4094,1,18,3
4102,1,13,3
4127,1,13,4
4127,1,19,1
4147,1,6,1
4147,1,10,4
4147,1,19,1
4173,1,28,1
4174,1,10,1
4180,3032,607,1
4203,1,13,5
4214,1,3,3
4220,1,13,8
4220,1,14,1
4220,1,40,1
4259,3032,607,1
4264,1,9,1
4270,1,18,3
4271,1,17,1
4280,1,13,4
4295,1,13,1
4295,1,19,2
4295,1,37,3
4295,1,41,1
4295,2,9,1
4295,2,56,3
4296,1,13,1
4303,1,13,4
4303,1,17,3
4308,1,13,6
4324,1,6,3
4324,1,17,1
4324,1,47,1
4324,1,53,1
4324,2,43,1
4330,1,20,6
4334,1,14,2
4334,1,16,1
4334,1,19,1
4345,1,8,8
4353,1,6,1
4353,1,19,1
4353,1,25,1
4353,1,36,1
4353,1,607,1
4361,1,13,1
4393,1,41,7
4397,1,6,2
4398,1,19,1
4403,1,13,13
4405,1,8,1
4405,1,17,4
4405,1,19,1
4405,1,41,1
4405,2,17,2
4405,2,18,4
4405,2,90,1
4414,1,18,3
4414,1,19,2
4414,1,27,3
4427,1,19,6
4436,1,13,12
4437,1,13,1
4442,1,15,1
4442,1,19,4
4442,2,18,1
4461,1,17,6
4464,1,19,1
4464,1,22,1
4465,1,3,1
4465,1,13,1
4476,1,6,2
4476,1,13,1
4486,1,8,1
4486,1,13,2
4486,1,18,1
4486,1,19,1
4489,1,8,3
4489,1,13,1
4503,1,9,1
4511,1,15,1
4514,1,19,1
4514,2,13,1
4536,1,13,1
4542,1,1,2
4548,1,18,2
4553,1,13,2
4553,1,19,1
4559,1,13,3
4563,1,19,2
4563,1,77,1
4565,1,14,1
4565,3032,607,1
4567,1,14,2
4570,1,13,2
4573,1,13,1
4573,1,19,1
4577,1,13,2
4602,1,15,3
4602,1,34,3
4630,1,13,1
4643,1,8,2
4646,1,5,3
4646,1,13,2
4646,1,18,3
4646,1,27,5
4652,1,19,7
4664,1,6,6
4670,1,17,1
4676,0,38,1
4676,1,13,1
4676,1,19,1
4678,1,36,3
4683,2,9,1
4683,2,18,1
4689,1,37,1
4690,1,13,2
4690,1,25,1
4693,1,13,3
4693,3032,607,1
4722,1,17,6
4737,1,3,1
4737,1,13,3
4741,1,9,2
4759,1,2,1
4759,1,22,3
4777,1,13,5
4779,1,19,1
4806,1,13,1
4806,1,37,1
4825,1,19,1
4841,1,10,1
4841,1,13,2
4862,1,13,5
4862,1,22,2
4875,1,28,8
4876,1,8,1
4876,1,17,1
4886,1,32,2
4903,1,19,1
4919,1,10,1
4919,1,22,4
4946,1,10,4
4946,1,17,1
4951,1,19,2
4957,1,25,2
4964,1,37,3
4977,1,13,5
4983,1,11,8
4983,1,13,2
4983,3032,607,1
4989,1,9,2
4989,1,10,3
4989,1,13,1
4989,1,16,1
4989,1,17,4
4989,1,19,12
4989,1,26,1
4989,2,28,1
5011,1,8,2
5011,1,19,1
5032,1,36,6
5036,1,19,1
5038,1,8,4
5038,1,9,2
5038,1,13,4
5044,1,19,4
5044,1,41,5
5065,1,1,2
5072,1,18,1
5072,1,37,7
5072,1,43,5
5074,1,13,3
5074,1,17,4
5077,1,25,1
5098,1,36,2
5118,1,13,2
5125,1,27,3
5132,1,13,6
5135,1,19,4
5135,1,31,2
5168,1,19,3
5200,1,17,3
5200,1,19,3
5222,1,13,1
5222,1,37,1
5223,1,6,1
5250,1,17,1
5257,1,13,2
5262,1,23,1
5270,1,13,1
5275,1,19,4
5281,1,16,1
5281,1,19,4
5282,1,8,2
5296,1,17,2
5296,1,19,4
5296,1,32,2
5299,1,13,6
5299,1,17,1
5299,2,41,2
5300,1,13,3
5306,1,15,2
5308,1,37,1
5313,1,37,6
5314,0,0,1
5314,0,38,1
5314,1,1,1
5314,1,3,3
5314,1,4,1
5314,1,5,4
5314,1,6,4
5314,1,8,7
5314,1,9,7
5314,1,12,5
5314,1,13,18
5314,1,14,1
5314,1,15,10
5314,1,16,4
5314,1,17,7
5314,1,18,9
5314,1,19,15
5314,1,20,2
5314,1,22,5
5314,1,23,1
5314,1,25,1
5314,1,27,3
5314,1,31,3
5314,1,35,2
5314,1,37,4
5314,1,40,1
5314,1,41,4
5314,1,58,1
5314,2,4,1
5314,2,9,1
5314,2,10,1
5314,2,13,6
5314,2,14,3
5314,2,18,2
5314,2,19,3
5314,2,22,2
5314,2,42,1
5314,2,56,1
5314,2,58,2
5314,2,70,1
5314,2,607,1
5314,3032,607,3
5323,1,13,1
5323,1,16,3
5325,1,15,3
5328,1,19,1
5333,1,70,1
5336,1,6,2
5336,3032,607,1
5341,1,8,5
5341,1,35,3
5348,1,1,6
5348,1,3,1
5348,1,4,2
5348,1,6,1
5348,1,8,6
5348,1,9,4
5348,1,12,3
5348,1,13,17
5348,1,15,5
5348,1,16,4
5348,1,17,4
5348,1,18,9
5348,1,19,17
5348,1,20,2
5348,1,22,5
5348,1,23,1
5348,1,25,1
5348,1,26,1
5348,1,28,5
5348,1,31,3
5348,1,32,2
5348,1,35,2
5348,1,37,4
5348,1,40,1
5348,1,41,6
5348,1,47,1
5348,1,53,4
5348,1,607,1
5348,2,9,3
5348,2,13,1
5348,2,14,1
5348,2,19,4
5348,2,20,2
5348,2,32,1
5348,2,36,1
5348,2,37,1
5348,2,56,1
5348,3032,607,2
5359,1,13,4
5362,1,13,1
5369,1,17,1
5369,1,19,1
5371,1,19,1
5384,1,49,1
5393,1,13,1
5402,1,6,3
5404,1,19,3
5423,1,3,5
5423,1,13,1
5433,1,10,6
5433,1,13,5
5433,1,15,4
5433,1,18,1
5449,1,8,3
5449,1,13,5
5449,1,17,2
5449,1,19,1
5455,1,8,3
5468,1,19,2
5468,1,37,1
5492,1,19,3
5493,1,13,3
5503,1,13,7
5524,1,18,2
5543,1,7,1
5543,1,13,5
5543,1,19,3
5543,1,32,2
5555,1,13,1
5574,1,9,2
5574,1,12,3
5587,1,18,1
5589,1,15,1
5596,1,12,2
5596,1,17,2
5596,1,19,3
5596,1,22,5
5597,1,1,1
5597,1,6,4
5597,1,10,3
5597,1,23,1
5609,1,18,2
5610,1,13,1
5619,1,13,2
5619,1,17,5
5619,1,20,4
5641,1,8,10
5641,1,35,5
5648,1,12,3
5648,1,13,2
5648,1,17,9
5648,1,18,1
5667,1,23,2
5674,1,13,3
5674,2,36,1
5676,1,8,4
5698,1,19,1
5712,1,13,3
5712,1,19,1
5721,1,36,7
5729,1,3,2
5729,1,8,1
5729,1,13,8
5729,1,18,1
5729,1,19,5
5729,1,20,1
5729,1,28,6
5729,1,30,1
5729,2,13,3
5729,2,37,1
5734,0,29,1
5740,1,16,1
5740,1,37,1
5746,1,13,4
5751,1,28,1
5761,1,6,1
5761,1,13,6
5761,1,19,1
5761,1,41,1
5761,2,17,1
5761,2,19,1
5786,1,16,1
5787,1,19,4
5788,1,8,1
5788,1,13,2
5788,1,17,1
5788,1,19,9
5788,1,53,1
5817,1,13,2
5853,1,19,1
5884,1,19,2
5912,1,8,4
5918,1,13,1
5936,1,9,3
5936,1,18,3
5954,1,13,1
5964,1,13,2
6022,1,19,4
6041,1,23,3
6113,0,21,1
6113,1,13,3
6124,1,15,1
6127,1,10,5
6131,1,3,1
6131,1,10,3
6145,1,3,1
6148,1,8,3
6173,1,7,13
6176,1,20,1
6194,1,19,3
6196,1,19,3
6198,1,12,3
6198,3032,607,1
6219,1,19,1
6222,1,13,1
6227,1,19,2
6227,1,20,1
6227,2,35,2
6242,1,17,1
6242,1,32,1
6250,1,19,3
6255,2,19,1
6260,1,19,6
6269,1,8,8
6283,1,66,3
6298,1,13,1
6308,1,17,2
6308,1,53,1
6308,2,8,2
6313,1,9,1
6313,1,10,3
6313,1,18,8
6313,1,19,4
6313,1,25,1
6313,1,35,1
6322,1,19,1
6330,1,13,1
6330,1,19,2
6330,1,27,3
6330,1,37,1
6330,1,44,1
6330,1,49,2
6336,1,10,1
6336,1,15,1
6336,1,18,9
6336,1,19,2
6336,1,32,1
6336,1,47,7
6336,2,9,1
6336,2,49,1
6351,1,13,4
6360,1,13,3
6360,1,17,3
6360,1,27,2
6367,1,13,2
6367,1,18,1
6367,1,19,4
6367,2,28,4
6375,1,13,2
6375,1,17,1
6375,1,19,4
6375,1,35,1
6375,1,44,2
6377,1,19,2
6380,1,8,1
6395,1,13,1
6395,1,19,8
6410,2,13,1
6414,1,6,4
6414,1,13,1
6414,1,14,6
6414,2,13,2
6424,1,8,4
6424,1,13,8
6424,1,22,6
6424,1,607,1
6424,2,47,1
6425,1,15,3
6428,1,25,3
6428,1,43,4
6437,0,21,1
6437,1,6,2
6437,1,8,8
6437,1,13,1
6437,1,19,1
6437,1,20,1
6437,1,47,3
6456,2,13,1
6462,0,29,1
6462,1,13,1
6462,1,17,1
6473,1,19,3
6479,1,22,1
6481,1,13,5
6481,1,17,1
6481,1,19,4
6484,1,14,4
6505,1,10,4
6505,1,15,1
6509,1,13,2
6517,1,13,2
6517,1,19,10
6534,1,53,4
6545,1,13,7
6547,1,13,6
6551,1,17,4
6553,1,13,1
6553,1,19,1
6558,1,3,1
6577,1,22,1
6578,1,13,1
6578,3032,607,1
6595,1,37,2
6602,1,14,12
6609,1,20,5
6620,1,10,6
6638,3032,607,1
6640,1,18,1
6641,1,9,8
6641,1,10,3
6641,1,13,3
6641,1,19,4
6641,1,20,2
6641,2,17,1
6655,1,10,1
6662,1,14,1
6668,1,8,4
6668,1,12,1
6668,1,18,1
6668,1,19,1
6681,1,6,1
6689,1,12,1
6689,1,13,1
6689,1,19,6
6689,2,11,2
6689,2,28,1
6692,1,18,6
6698,1,13,1
6710,2,19,1
6713,1,13,4
6713,1,19,5
6713,1,28,3
6713,1,53,6
6721,1,6,3
6721,1,18,2
6740,1,9,1
6740,1,13,7
6740,2,9,2
6757,1,19,1
6773,1,8,3
6773,1,19,2
6773,2,607,1
6783,1,10,7
6783,1,32,4
6792,1,11,1
6792,1,19,1
6794,1,13,2
6806,1,9,8
6807,1,13,2
6807,1,19,4
6828,1,13,7
6840,1,37,3
6853,1,14,1
6859,1,16,2
6860,1,13,2
6860,1,22,4
6884,1,13,2
6884,1,14,1
6911,1,49,1
6942,1,19,1
6950,2,31,1
6954,1,15,1
6959,1,17,1
6959,1,18,4
7006,1,13,1
7006,1,15,3
7006,1,18,3
7011,1,13,6
7021,1,13,1
7021,1,17,1
7021,1,18,2
7021,1,19,1
7021,2,9,1
7029,0,24,1
7029,1,22,4
7030,1,9,4
7032,1,18,1
7032,1,19,1
7043,1,19,1
7057,1,10,2
7059,1,2,13
7059,1,3,1
7068,1,15,1
7088,1,3,4
7093,1,9,2
7110,1,13,1
7110,1,22,2
7119,1,32,1
7120,1,35,3
7125,1,10,2
7125,1,19,9
7125,1,37,1
7146,1,18,4
7151,1,3,1
7153,1,19,3
7157,1,18,1
7164,1,12,4
7172,1,10,4
7172,1,17,1
7172,1,19,4
7178,1,19,3
7210,1,9,1
7210,1,19,1
7210,1,28,2
7212,1,32,1
7243,1,13,1
7246,1,3,8
7246,1,19,3
7252,1,22,1
7255,1,8,1
7255,1,13,1
7255,1,15,1
7255,1,19,1
7257,1,12,8
7275,1,10,1
7275,1,19,4
7275,1,20,4
7275,1,53,4
7283,1,13,3
7283,1,20,8
7283,2,13,1
7291,1,11,9
7294,1,35,2
7295,1,19,1
7304,1,13,5
7313,1,13,1
7313,1,19,9
7315,1,19,4
7318,1,6,2
7335,1,1,11
7335,1,12,3
7335,1,22,5
7338,1,8,1
7343,1,13,3
7346,1,13,2
7346,1,18,4
7350,1,13,6
7350,1,17,2
7350,1,19,4
7350,3032,607,1
7352,1,10,1
7364,1,8,1
7364,1,9,1
7371,1,13,2
7373,1,22,2
7373,1,607,1
7373,18,0,1
7377,1,19,2
7384,1,13,3
7384,1,32,6
7389,1,19,1
7395,1,23,4
7395,1,30,1
7418,1,13,2
7426,1,13,1
7432,1,13,2
7432,2,36,2
7441,1,20,4
7441,3032,607,1
7460,1,48,1
7462,1,13,2
7462,1,14,8
7466,2,18,1
7471,1,19,9
7502,1,17,1
7502,1,19,2
7502,2,19,1
7502,3032,607,1
7517,1,6,2
7521,1,10,2
7521,1,22,3
7521,3032,607,1
7522,1,19,1
7524,1,3,1
7526,1,19,1
7528,1,19,4
7538,2,9,1
7554,3032,607,1
7567,1,19,3
7569,3032,607,1
7572,1,19,1
7572,1,20,1
7574,1,3,2
7590,1,6,1
7593,0,24,1
7593,2,10,1
7595,1,16,1
7595,1,18,4
7598,1,10,3
7598,1,14,1
7598,1,19,3
7598,2,42,1
7602,1,18,2
7602,3032,607,1
7612,1,20,1
7625,1,25,1
7645,1,17,1
7647,1,19,3
7649,1,19,2
7653,1,13,1
7664,1,8,4
7664,1,19,6
7664,1,20,3
7680,1,15,1
7690,1,13,1
7690,1,15,1
7690,1,18,1
7690,1,19,4
7708,1,13,7
7709,1,8,2
7709,1,13,4
7709,1,15,3
7715,1,18,1
7749,1,17,2
7755,1,13,1
7755,2,9,2
7756,1,2,1
7775,1,13,3
7775,1,14,2
7775,1,25,1
7793,1,17,1
7793,1,41,2
7794,1,16,1
7795,1,19,1
7801,1,6,1
7801,1,9,1
7813,1,13,1
7813,1,19,5
7815,1,19,1
7906,1,19,1
7927,1,12,1
7962,1,13,3
7962,1,19,2
7962,1,32,1
7977,1,8,3
8019,2,65,2
8026,1,9,2
8026,1,25,4
8026,1,28,4
8035,1,13,7
8035,1,17,1
8035,1,25,2
8046,1,15,1
8060,1,1,3
8068,1,14,3
8096,1,19,2
8111,1,13,5
8144,1,13,1
8152,1,13,2
8171,1,19,1
8179,1,13,4
8179,1,19,3
8179,1,20,4
8179,1,22,3
8179,1,41,1
8180,1,1,1
8180,1,4,1
8180,1,16,1
8180,1,19,1
8180,2,9,1
8185,1,6,1
8185,1,13,1
8185,1,19,1
8185,1,30,6
8185,1,607,1
8190,184,21,1
8201,1,19,3
8208,1,9,1
8209,1,13,3
8209,1,35,1
8210,1,13,1
8210,1,27,10
8215,1,19,3
8215,1,28,3
8215,2,11,2
8215,2,17,4
8225,1,18,1
8254,2,27,1
8259,1,11,1
8259,1,16,6
8259,1,20,3
8259,1,41,3
8259,1,46,1
8266,1,19,3
8267,1,8,1
8267,1,9,1
8267,1,13,3
8267,1,15,2
8267,1,32,1
8286,1,19,3
8292,1,3,3
8292,1,13,1
8292,1,17,5
8292,1,19,3
8292,1,46,1
8297,1,3,5
8297,1,13,1
8301,1,16,10
8301,1,19,6
8301,1,37,5
8301,2,19,1
8318,1,13,3
8318,1,19,5
8318,1,20,4
8321,1,19,4
8323,1,19,1
8330,1,17,1
8330,1,18,1
8330,1,19,2
8330,2,19,2
8334,1,9,3
8352,1,6,6
8352,1,13,3
8352,1,19,7
8356,1,19,2
8362,1,17,1
8362,1,19,7
8362,1,20,1
8374,1,13,2
8383,1,1,4
8391,1,3,1
8391,1,8,1
8391,1,11,1
8391,1,12,3
8391,1,13,1
8391,1,19,2
8397,1,19,1
8399,1,25,3
8401,2,19,1
8408,1,10,3
8413,1,8,2
8413,1,19,3
8430,1,13,1
8430,1,18,1
8430,1,19,12
8438,1,14,2
8438,1,15,1
8438,1,37,4
8450,1,13,4
8450,1,19,3
8451,1,6,4
8468,1,19,2
8469,1,13,4
8482,1,13,3
8482,1,36,8
